id,token,tag
0,В,O
1,работе,O
2,на,O
3,основе,O
4,примеров,O
5,использования,O
6,и,O
7,критики,B-TERM
8,метода,I-TERM
9,анализа,I-TERM
10,иерархий,I-TERM
11,в,O
12,научной,O
13,и,O
14,учебной,O
15,литературе,B-TERM
16,выделены,O
17,основные,O
18,особенности,B-TERM
19,применения,I-TERM
20,этого,I-TERM
21,метода,I-TERM
22,для,O
23,решения,O
24,многокритериальных,O
25,задач,O
26,.,O
27,Учет,O
28,этих,B-TERM
29,особенностей,I-TERM
30,позволяет,O
31,избежать,O
32,противоречий,O
33,и,O
34,ложных,O
35,контрпримеров,O
36,",",O
37,возникающих,O
38,при,O
39,поверхностном,O
40,использовании,B-TERM
41,основных,I-TERM
42,средств,I-TERM
43,метода,I-TERM
44,анализа,I-TERM
45,иерархий,I-TERM
46,",",O
47,к,O
48,которым,O
49,относятся,O
50,фундаментальная,O
51,шкала,B-TERM
52,",",O
53,дескриптивный,O
54,и,O
55,нормативный,O
56,подход,O
57,к,O
58,решению,O
59,задач,O
60,.,O
