id,token,tag
0,В,O
1,работе,O
2,предлагается,O
3,алгоритм,O
4,построения,O
5,специальной,O
6,иерархической,B-TERM
7,структуры,I-TERM
8,представления,I-TERM
9,данных,I-TERM
10,КТ,O
11,-,O
12,или,O
13,МРТ,O
14,-,O
15,сканирования,O
16,для,O
17,искусственных,O
18,или,O
19,нативных,B-TERM
20,сред,I-TERM
21,со,O
22,множеством,O
23,сложных,O
24,внутренних,B-TERM
25,границ,I-TERM
26,.,O
27,Выполняется,O
28,конвертация,O
29,стека,O
30,послойных,O
31,изображений,O
32,в,O
33,градациях,O
34,серого,O
35,в,O
36,сеточное,O
37,разбиение,O
38,",",O
39,состоящее,O
40,на,O
41,верхнем,O
42,уровне,O
43,иерархии,O
44,из,O
45,полиэдральных,O
46,(,O
47,полигональных,O
48,для,O
49,2D,O
50,случаев,B-TERM
51,),O
52,макроэлементов,O
53,",",O
54,а,O
55,на,O
56,микроуровне,O
57,—,O
58,из,O
59,тетраэдров,O
60,(,O
61,треугольников,O
62,для,O
63,2D,O
64,),O
65,.,O
66,Полученные,O
67,разбиения,O
68,ориентированы,O
69,на,O
70,приложение,O
71,в,O
72,конечноэлементном,O
73,многомасштабном,B-TERM
74,моделировании,I-TERM
75,и,O
76,могут,O
77,быть,O
78,применены,O
79,для,O
80,решения,O
81,широкого,O
82,круга,B-TERM
83,многофизичных,I-TERM
84,задач,I-TERM
85,.,O
