id,token,tag
0,Организационная,B-TERM
1,культура,I-TERM
2,является,O
3,предметом,O
4,большого,O
5,количества,B-TERM
6,исследований,I-TERM
7,.,O
8,Но,O
9,при,O
10,этом,O
11,в,O
12,существующих,O
13,исследованиях,B-TERM
14,очень,O
15,редко,O
16,используются,O
17,формальные,B-TERM
18,модели,I-TERM
19,организационных,I-TERM
20,культур,I-TERM
21,",",O
22,что,O
23,существенно,O
24,сдерживает,O
25,дальнейшее,O
26,развитие,B-TERM
27,теории,I-TERM
28,организационной,I-TERM
29,культуры,I-TERM
30,и,O
31,практики,B-TERM
32,управления,I-TERM
33,проектами,I-TERM
34,изменения,B-TERM
35,организационной,I-TERM
36,культурой,I-TERM
37,.,O
38,В,O
39,статье,O
40,сформулированы,O
41,общие,B-TERM
42,перспективы,I-TERM
43,использования,I-TERM
44,моделей,I-TERM
45,анализа,I-TERM
46,социальных,I-TERM
47,сетей,I-TERM
48,для,O
49,моделирования,B-TERM
50,организационной,I-TERM
51,культуры,I-TERM
52,.,O
