id,token,tag
0,Одним,O
1,из,O
2,самых,O
3,точных,O
4,и,O
5,эффективных,O
6,способов,B-TERM
7,управления,I-TERM
8,жестами,O
9,является,O
10,управление,B-TERM
11,активностью,O
12,мышц,O
13,",",O
14,которое,O
15,происходит,O
16,при,O
17,любом,O
18,движении,O
19,.,O
20,Для,O
21,регистрации,O
22,подобной,O
23,активности,O
24,используется,O
25,электромиография,B-TERM
26,(,O
27,ЭМГ,O
28,),O
29,.,O
30,В,O
31,данной,B-TERM
32,статье,I-TERM
33,сравниваются,O
34,алгоритмы,B-TERM
35,классификации,I-TERM
36,SVM,I-TERM
37,",",O
38,персептрон,O
39,",",O
40,метод,B-TERM
41,плотностей,I-TERM
42,вероятностей,I-TERM
43,и,O
44,метод,B-TERM
45,плотностей,I-TERM
46,вероятностей,I-TERM
47,применительно,O
48,к,O
49,ЭМГ,O
50,-,O
51,сигналу,O
52,.,O
53,Для,O
54,записи,O
55,сигнала,O
56,используется,O
57,Arduino,O
58,Leonardo,O
59,с,O
60,одноканальным,O
61,Shield,O
62,EMG,O
63,.,O
64,Цель,B-TERM
65,работы,I-TERM
66,—,O
67,доказать,O
68,возможность,B-TERM
69,создания,I-TERM
70,дешевого,I-TERM
71,и,I-TERM
72,доступного,B-TERM
73,биоинтерфейса,I-TERM
74,на,O
75,основе,O
76,сигнала,O
77,ЭМГ,O
78,.,O
