id,token,tag
0,Распределенные,B-TERM
1,системы,I-TERM
2,в,O
3,настоящее,B-TERM
4,время,I-TERM
5,становятся,O
6,самой,O
7,распространенной,O
8,формой,B-TERM
9,информационных,I-TERM
10,систем,I-TERM
11,.,O
12,Большие,O
13,объемы,B-TERM
14,данных,I-TERM
15,",",O
16,интеграция,O
17,приложений,O
18,",",O
19,персонификация,B-TERM
20,сервисов,I-TERM
21,предъявляют,O
22,требования,O
23,к,O
24,архитектуре,B-TERM
25,систем,I-TERM
26,:,O
27,масштабируемость,O
28,",",O
29,отказоустойчивость,B-TERM
30,",",O
31,гарантированное,O
32,качество,O
33,доставки,B-TERM
34,данных,I-TERM
35,.,O
36,Для,O
37,выполнения,O
38,этих,O
39,требований,O
40,требуется,O
41,использование,O
42,специализированных,O
43,подходов,O
44,к,O
45,разработке,B-TERM
46,программного,I-TERM
47,обеспечения,I-TERM
48,.,O
49,В,O
50,статье,O
51,рассмотрен,O
52,принцип,O
53,императивного,B-TERM
54,программирования,I-TERM
55,CQRS,I-TERM
56,(,O
57,Command,O
58,Query,O
59,Responsibility,O
60,Segregation,O
61,),O
62,",",O
63,который,O
64,является,O
65,мультипарадигменным,O
66,и,O
67,может,O
68,быть,O
69,использован,O
70,в,O
71,объектно,O
72,-,O
73,ориентированном,O
74,",",O
75,функциональном,O
76,",",O
77,смешанном,O
78,и,O
79,процедурном,O
80,программировании,O
81,.,O
82,Проведен,O
83,подробный,O
84,анализ,B-TERM
85,возможности,I-TERM
86,использования,I-TERM
87,в,O
88,программной,B-TERM
89,разработке,I-TERM
90,на,O
91,примере,O
92,Scala,O
93,-,O
94,кода,B-TERM
95,;,O
96,рассмотрена,O
97,техническая,O
98,реализация,O
99,проектного,O
100,решения,O
101,",",O
102,а,O
103,также,O
104,проведен,O
105,анализ,B-TERM
106,возможности,I-TERM
107,использования,O
108,в,O
109,облачных,B-TERM
110,сервисах,I-TERM
111,.,O
