id,token,tag
0,Рассматривается,O
1,метод,B-TERM
2,идентификации,I-TERM
3,плотности,I-TERM
4,распределения,I-TERM
5,вероятности,I-TERM
6,случайных,I-TERM
7,величин,I-TERM
8,в,O
9,стохастических,B-TERM
10,системах,I-TERM
11,",",O
12,в,O
13,том,O
14,числе,O
15,для,O
16,модельных,B-TERM
17,выборок,I-TERM
18,ограниченного,I-TERM
19,объема,I-TERM
20,.,O
21,Задача,B-TERM
22,верификации,I-TERM
23,решается,O
24,для,O
25,оценки,O
26,предложенного,O
27,метода,B-TERM
28,восстановления,I-TERM
29,полимодальных,I-TERM
30,плотностей,I-TERM
31,распределения,I-TERM
32,.,O
33,В,O
34,качестве,O
35,реконструируемой,O
36,плотности,O
37,принимается,O
38,приближенное,O
39,решение,B-TERM
40,интегрального,I-TERM
41,уравнения,I-TERM
42,Фредгольма,I-TERM
43,первого,I-TERM
44,рода,I-TERM
45,.,O
46,Подтверждается,O
47,вывод,O
48,о,O
49,необходимости,O
50,увеличенного,O
51,числа,O
52,гладких,B-TERM
53,функций,I-TERM
54,для,O
55,восстановления,O
56,сложных,O
57,(,O
58,Коши,O
59,",",O
60,экспоненциальное,O
61,),O
62,распределений,B-TERM
63,.,O
