id,token,tag
0,Статья,O
1,посвящена,O
2,изложению,B-TERM
3,парадигмы,I-TERM
4,в,O
5,теории,B-TERM
6,систем,I-TERM
7,",",O
8,позволяющей,O
9,формализовать,O
10,основные,O
11,понятия,O
12,и,O
13,свойства,B-TERM
14,интегрированных,I-TERM
15,систем,I-TERM
16,основе,B-TERM
17,общего,I-TERM
18,принципа,I-TERM
19,изоморфизма,I-TERM
20,изоморфизма,I-TERM
21,.,O
22,Интерпретация,O
23,известного,B-TERM
24,принципа,I-TERM
25,единственности,I-TERM
26,в,O
27,задаче,O
28,реализации,O
29,в,O
30,форме,B-TERM
31,общего,I-TERM
32,принципа,I-TERM
33,изоморфизма,I-TERM
34,дала,I-TERM
35,возможность,B-TERM
36,в,O
37,общем,B-TERM
38,виде,I-TERM
39,сформулировать,O
40,и,O
41,доказать,O
42,фундаментальную,O
43,теорему,B-TERM
44,(,O
45,лемму,O
46,),O
47,о,O
48,реализации,O
49,.,O
50,На,O
51,основе,O
52,общего,B-TERM
53,принципа,I-TERM
54,изоморфизма,I-TERM
55,и,O
56,леммы,O
57,сформулирована,O
58,новая,O
59,парадигма,B-TERM
60,в,O
61,теории,B-TERM
62,систем,I-TERM
63,",",O
64,позволившая,O
65,определить,O
66,понятия,O
67,модели,O
68,",",O
69,абстрактной,B-TERM
70,системы,I-TERM
71,",",O
72,простой,O
73,",",O
74,сложной,O
75,и,O
76,большой,B-TERM
77,системы,I-TERM
78,",",O
79,а,O
80,также,O
81,формализовать,O
82,фундаментальные,O
83,свойства,B-TERM
84,систем,I-TERM
85,.,O
86,В,O
87,частности,O
88,",",O
89,с,O
90,точностью,B-TERM
91,до,O
92,некоторых,O
93,изоморфных,O
94,моделей,O
95,определены,O
96,понятия,O
97,и,O
98,критерии,O
99,наблюдаемости,O
100,",",O
101,управляемости,O
102,",",O
103,контролируемости,O
104,и,O
105,идентифицируемости,B-TERM
106,систем,I-TERM
107,.,O
108,В,O
109,рамках,B-TERM
110,парадигмы,I-TERM
111,обоснованы,O
112,новые,O
113,взгляды,O
114,на,O
115,детерминизм,B-TERM
116,и,O
117,случайность,B-TERM
118,",",O
119,на,O
120,проявления,O
121,системного,O
122,эффекта,O
123,",",O
124,на,O
125,принцип,B-TERM
126,относительности,I-TERM
127,и,O
128,принцип,O
129,суперпозиции,O
130,в,O
131,теории,B-TERM
132,систем,I-TERM
133,.,O
134,Парадигма,B-TERM
135,также,O
136,позволила,O
137,формализовать,O
138,условия,B-TERM
139,разрешимости,I-TERM
140,задачи,I-TERM
141,дуального,I-TERM
142,управления,I-TERM
143,-,O
144,комплексы,O
145,и,O
146,проанализировать,O
147,свойства,B-TERM
148,интегрированных,O
149,систем,B-TERM
150,.,O
151,Рассмотрены,O
152,формально,O
153,-,O
154,математические,B-TERM
155,основы,I-TERM
156,синтеза,I-TERM
157,интегрированных,I-TERM
158,информационно,O
159,-,O
160,управляющих,O
161,систем,B-TERM
162,",",O
163,имеющих,O
164,важное,O
165,прикладное,B-TERM
166,значение,I-TERM
167,.,O
168,На,O
169,основе,O
170,обобщения,O
171,принципа,B-TERM
172,суперпозиции,I-TERM
173,получены,O
174,доказательства,B-TERM
175,теоремы,I-TERM
176,разделения,I-TERM
177,и,O
178,определены,O
179,условия,O
180,разрешимости,B-TERM
181,задачи,I-TERM
182,дуального,I-TERM
183,управления,I-TERM
184,для,O
185,линейных,O
186,и,O
187,нелинейных,B-TERM
188,интегрированных,I-TERM
189,систем,B-TERM
190,.,O
