id,token,tag
0,В,O
1,настоящее,B-TERM
2,время,I-TERM
3,продолжаются,O
4,попытки,O
5,создания,B-TERM
6,систем,I-TERM
7,распознавания,I-TERM
8,речи,I-TERM
9,.,O
10,Google,B-TERM
11,",",O
12,Apple,O
13,и,O
14,Dragon,O
15,Systems,O
16,являются,O
17,одним,O
18,из,O
19,самых,O
20,успешных,O
21,разработчиков,O
22,подобных,B-TERM
23,программ,I-TERM
24,.,O
25,Программа,O
26,Google,B-TERM
27,Voice,O
28,Search,O
29,поддерживает,O
30,русский,O
31,язык,B-TERM
32,с,O
33,2010,O
34,г,O
35,.,O
36,Данное,O
37,расширение,B-TERM
38,браузера,I-TERM
39,Google,I-TERM
40,Chrome,I-TERM
41,позволяет,O
42,осуществлять,O
43,поиск,O
44,различных,O
45,сведений,O
46,в,O
47,Интернете,O
48,с,O
49,помощью,O
50,устной,B-TERM
51,речи,I-TERM
52,.,O
53,Так,O
54,же,O
55,Google,B-TERM
56,Voice,O
57,Search,O
58,встроен,O
59,в,O
60,Google,B-TERM
61,Maps,O
62,для,O
63,телефонов,O
64,и,O
65,планшетов,O
66,.,O
67,Политика,B-TERM
68,Google,I-TERM
69,—,O
70,вставлять,O
71,функцию,B-TERM
72,распознавания,I-TERM
73,речи,I-TERM
74,в,O
75,любой,O
76,из,O
77,их,O
78,продуктов,O
79,",",O
80,есть,O
81,функция,B-TERM
82,поиска,I-TERM
83,информации,I-TERM
84,.,O
85,Целью,B-TERM
86,исследования,I-TERM
87,является,O
88,определить,O
89,реальные,B-TERM
90,возможности,I-TERM
91,данной,I-TERM
92,системы,I-TERM
93,",",O
94,ее,O
95,сильные,O
96,и,O
97,слабые,O
98,стороны,O
99,",",O
100,определить,O
101,",",O
102,на,O
103,что,O
104,данная,B-TERM
105,система,I-TERM
106,в,O
107,первую,O
108,очередь,O
109,нацелена,O
110,—,O
111,на,O
112,выдачу,O
113,результатов,O
114,",",O
115,которые,O
116,будут,O
117,в,O
118,первую,O
119,очередь,O
120,опираться,O
121,на,O
122,статистику,B-TERM
123,",",O
124,или,O
125,на,O
126,выдачу,O
127,результатов,O
128,",",O
129,которые,O
130,будут,O
131,совпадать,O
132,по,O
133,фонемам,B-TERM
134,и,O
135,по,O
136,буквам,O
137,со,O
138,словом,O
139,",",O
140,которое,O
141,было,O
142,сказано,O
143,в,O
144,запросе,O
145,.,O
146,Так,O
147,как,O
148,Google,B-TERM
149,Voice,O
150,Search,O
151,имеет,O
152,закрытый,O
153,код,B-TERM
154,",",O
155,проверить,O
156,надежность,B-TERM
157,этой,I-TERM
158,системы,I-TERM
159,можно,O
160,только,O
161,экспериментальным,O
162,путем,O
163,.,O
