id,token,tag
0,Современные,O
1,информационные,B-TERM
2,системы,I-TERM
3,имеют,O
4,сложную,O
5,архитектуру,B-TERM
6,",",O
7,приложения,O
8,и,O
9,данные,B-TERM
10,распределены,O
11,между,O
12,различными,O
13,вычислительными,B-TERM
14,узлами,I-TERM
15,",",O
16,одновременно,O
17,выполняется,O
18,множество,O
19,сетевых,B-TERM
20,операций,I-TERM
21,",",O
22,поэтому,O
23,актуальна,O
24,разработка,B-TERM
25,методов,I-TERM
26,и,O
27,инструментальных,B-TERM
28,средств,I-TERM
29,для,O
30,профилирования,B-TERM
31,распределенных,I-TERM
32,систем,I-TERM
33,.,O
34,В,O
35,статье,O
36,проанализированы,O
37,и,O
38,унифицированы,O
39,методы,B-TERM
40,профилирования,I-TERM
41,распределенных,I-TERM
42,систем,I-TERM
43,",",O
44,которые,O
45,ориентированы,O
46,на,O
47,имитационное,B-TERM
48,моделирование,I-TERM
49,для,O
50,проведения,B-TERM
51,экспериментов,I-TERM
52,и,O
53,построение,O
54,графовой,B-TERM
55,модели,I-TERM
56,системы,I-TERM
57,.,O
58,Для,O
59,имитационного,B-TERM
60,моделирования,I-TERM
61,используется,O
62,теория,B-TERM
63,сетей,I-TERM
64,массового,I-TERM
65,обслуживания,I-TERM
66,.,O
67,Для,O
68,автоматизации,O
69,приведенного,O
70,метода,B-TERM
71,профилирования,I-TERM
72,распределенных,I-TERM
73,систем,I-TERM
74,разработано,O
75,приложение,B-TERM
76,типа,I-TERM
77,SCADA,I-TERM
78,-,O
79,системы,B-TERM
80,",",O
81,имеющее,O
82,модульную,O
83,структуру,B-TERM
84,.,O
