id,token,tag
0,В,O
1,статье,O
2,рассматривается,O
3,объектно,O
4,-,O
5,ориентированная,O
6,модель,O
7,",",O
8,созданная,O
9,при,O
10,проектировании,O
11,учебно,O
12,-,O
13,тренировочного,O
14,средства,O
15,(,O
16,индекс,O
17,изделия,O
18,9Ф694,O
19,-,O
20,Э,O
21,),O
22,",",O
23,предназначенного,O
24,для,O
25,подготовки,B-TERM
26,экипажей,I-TERM
27,пусковой,O
28,установки,O
29,9П78,O
30,-,O
31,1,O
32,-,O
33,Э,O
34,экспортного,O
35,варианта,O
36,оперативно,O
37,-,O
38,тактического,B-TERM
39,ракетного,I-TERM
40,комплекса,I-TERM
41,(,O
42,ОТРК,O
43,),O
44,«,O
45,Искандер,O
46,-,O
47,Э,O
48,»,O
49,(,O
50,индекс,O
51,изделия,O
52,9К720,O
53,),O
54,.,O
55,Приведены,O
56,фрагменты,O
57,созданной,O
58,модели,O
59,.,O
60,Сформулированы,O
61,основные,O
62,умения,O
63,",",O
64,получаемые,O
65,обучаемым,O
66,экипажем,B-TERM
67,в,O
68,процессе,B-TERM
69,обучения,I-TERM
70,.,O
71,Проектные,O
72,решения,O
73,",",O
74,реализованные,O
75,в,O
76,9Ф694,O
77,-,O
78,Э,O
79,",",O
80,в,O
81,настоящее,B-TERM
82,время,I-TERM
83,продуктивно,O
84,используются,O
85,в,O
86,разрабатываемом,O
87,проекте,O
88,тренажера,O
89,ОТРК,O
90,«,O
91,Искандер,O
92,-,O
93,Э,O
94,»,O
95,в,O
96,целом,O
97,.,O
