id,token,tag
0,Автор,O
1,с,O
2,коллегами,O
3,готовил,O
4,к,O
5,изданию,O
6,справочник,O
7,по,O
8,теплофизическим,O
9,свойствам,B-TERM
10,теплоносителей,I-TERM
11,и,O
12,рабочих,B-TERM
13,тел,I-TERM
14,энергетики,I-TERM
15,",",O
16,который,O
17,поддерживается,O
18,сайтом,O
19,http,O
20,://,O
21,twt,O
22,.,O
23,mpei,O
24,.,O
25,ac,O
26,.,O
27,ru,O
28,/,O
29,rbtpp,O
30,с,O
31,сетевыми,O
32,",",O
33,интерактивными,O
34,",",O
35,открытыми,O
36,расчетами,B-TERM
37,открытыми,B-TERM
38,расчетами,I-TERM
39,содержит,O
40,",",O
41,в,O
42,частности,O
43,",",O
44,описание,O
45,сайта,O
46,.,O
47,При,O
48,подготовке,O
49,этой,O
50,части,O
51,рукописи,O
52,и,O
53,отладке,O
54,сайта,O
55,возникла,O
56,необходимость,O
57,соединить,O
58,в,O
59,одном,O
60,тексте,B-TERM
61,общепринятые,O
62,тексте,B-TERM
63,нотации,O
64,и,O
65,специальные,O
66,формы,O
67,записи,O
68,математических,O
69,записи,B-TERM
70,математических,I-TERM
71,выражений,I-TERM
72,математических,O
73,компьютерных,B-TERM
74,математических,I-TERM
75,программах,I-TERM
76,излагаются,O
77,Здесь,B-TERM
78,проблемы,O
79,и,O
80,возможные,O
81,способы,O
82,их,O
83,решения,O
84,.,O
