id,token,tag
0,Приведены,O
1,некоторые,O
2,результаты,B-TERM
3,анализа,I-TERM
4,временной,I-TERM
5,изменчивости,I-TERM
6,компонентов,I-TERM
7,геологической,I-TERM
8,среды,I-TERM
9,на,O
10,территориях,O
11,городов,B-TERM
12,Приднепровского,I-TERM
13,промышленного,I-TERM
14,региона,I-TERM
15,присутствие,O
16,элементов,O
17,хаотического,B-TERM
18,состояния,I-TERM
19,в,O
20,динамике,B-TERM
21,свойств,I-TERM
22,лёссовых,I-TERM
23,пород,I-TERM
24,динамике,B-TERM
25,подземных,I-TERM
26,вод,I-TERM
27,на,O
28,застроенных,O
29,территориях,O
30,.,O
31,Проанализирована,O
32,изменчивость,B-TERM
33,свойств,I-TERM
34,лёссовых,I-TERM
35,пород,I-TERM
36,в,O
37,период,O
38,1926,O
39,–,O
40,2007,O
41,годов,O
42,на,O
43,территории,O
44,крупных,O
45,и,O
46,небольших,O
47,городов,O
48,Приднепровского,B-TERM
49,промышленного,I-TERM
50,региона,O
51,Украины,O
52,.,O
