id,token,tag
0,В,O
1,рамках,O
2,постановки,O
3,и,O
4,решения,O
5,задачи,O
6,аналитического,B-TERM
7,обзора,I-TERM
8,рассмотрен,O
9,ряд,B-TERM
10,исследований,I-TERM
11,",",O
12,проводимых,O
13,с,O
14,целью,B-TERM
15,извлечения,I-TERM
16,словосочетаний,I-TERM
17,(,O
18,коллокаций,O
19,),O
20,из,O
21,текстов,B-TERM
22,на,O
23,русском,O
24,",",O
25,украинском,O
26,и,O
27,польском,O
28,языках,B-TERM
29,.,O
30,Описан,O
31,ход,B-TERM
32,развития,I-TERM
33,текущих,I-TERM
34,исследований,I-TERM
35,для,O
36,автоматизации,B-TERM
37,анализа,I-TERM
38,поэтических,I-TERM
39,текстов,I-TERM
40,",",O
41,проводимых,O
42,на,O
43,базе,B-TERM
44,ИВТ,O
45,СО,O
46,РАН,O
47,.,O
