id,token,tag
0,Рассматривается,O
1,применение,B-TERM
2,продукционного,I-TERM
3,метода,I-TERM
4,в,O
5,задачах,B-TERM
6,синтеза,I-TERM
7,продукционных,I-TERM
8,моделей,I-TERM
9,автоматических,I-TERM
10,регуляторов,I-TERM
11,систем,I-TERM
12,управления,I-TERM
13,.,O
14,Предложен,O
15,метод,B-TERM
16,синтеза,I-TERM
17,автоматических,I-TERM
18,регуляторов,I-TERM
19,систем,I-TERM
20,управления,I-TERM
21,",",O
22,базирующийся,O
23,на,O
24,совместном,O
25,использовании,B-TERM
26,достаточных,I-TERM
27,условий,I-TERM
28,оптимальности,I-TERM
29,и,O
30,процедуры,O
31,конечномерной,B-TERM
32,оптимизации,I-TERM
33,.,O
34,Рассмотрены,O
35,интеллектуальные,B-TERM
36,методы,I-TERM
37,синтеза,I-TERM
38,продукционных,I-TERM
39,моделей,I-TERM
40,автоматических,I-TERM
41,регуляторов,I-TERM
42,с,O
43,использованием,O
44,эволюционных,B-TERM
45,вычислений,I-TERM
46,:,O
47,генетического,B-TERM
48,алгоритма,I-TERM
49,и,O
50,генетического,B-TERM
51,программирования,I-TERM
52,.,O
