id,token,tag
0,В,O
1,работе,O
2,рассмотрена,O
3,проблема,B-TERM
4,оценки,I-TERM
5,состояния,I-TERM
6,человека,I-TERM
7,-,O
8,оператора,B-TERM
9,в,O
10,процессе,B-TERM
11,пилотирования,I-TERM
12,.,O
13,Предложены,O
14,алгоритмы,B-TERM
15,оценивания,I-TERM
16,состояния,I-TERM
17,человека,I-TERM
18,-,O
19,оператора,B-TERM
20,по,O
21,данным,O
22,его,O
23,электроэнцефалограмм,O
24,с,O
25,использованием,B-TERM
26,методов,I-TERM
27,спектрального,I-TERM
28,анализа,I-TERM
29,и,O
30,метода,B-TERM
31,главных,I-TERM
32,компонент,I-TERM
33,.,O
34,Суть,O
35,методики,O
36,заключается,O
37,в,O
38,выборе,O
39,небольшого,O
40,числа,B-TERM
41,функциональных,I-TERM
42,признаков,I-TERM
43,",",O
44,которые,O
45,позволяют,O
46,делать,O
47,выводы,O
48,о,O
49,степени,O
50,утомления,O
51,человека,O
52,-,O
53,оператора,B-TERM
54,без,O
55,потери,O
56,информативности,O
57,.,O
58,Приведены,O
59,результаты,B-TERM
60,тестирования,I-TERM
61,алгоритмов,I-TERM
62,на,O
63,экспериментальных,B-TERM
64,данных,I-TERM
65,",",O
66,полученных,O
67,в,O
68,процессе,B-TERM
69,пилотирования,O
70,.,O
71,Показана,O
72,зависимость,O
73,между,O
74,степенью,O
75,утомления,O
76,человека,O
77,-,O
78,оператора,B-TERM
79,и,O
80,качеством,O
81,выполнения,O
82,пилотажного,O
83,задания,O
84,.,O
