id,token,tag
0,Предложено,O
1,алгебраическое,B-TERM
2,представление,I-TERM
3,модели,I-TERM
4,формообразования,I-TERM
5,",",O
6,позволяющей,O
7,описывать,O
8,получение,B-TERM
9,форм,I-TERM
10,слов,I-TERM
11,различных,I-TERM
12,естественных,I-TERM
13,языков,I-TERM
14,из,O
15,их,O
16,основ,O
17,.,O
18,Модель,O
19,используется,O
20,в,O
21,методе,B-TERM
22,генерации,I-TERM
23,и,O
24,определения,B-TERM
25,форм,I-TERM
26,слов,I-TERM
27,для,O
28,решения,O
29,задач,B-TERM
30,морфологического,I-TERM
31,синтеза,I-TERM
32,и,O
33,анализа,B-TERM
34,текстов,I-TERM
35,.,O
36,Приведены,O
37,примеры,B-TERM
38,образования,I-TERM
39,форм,I-TERM
40,слов,I-TERM
41,в,O
42,терминологии,B-TERM
43,модели,I-TERM
44,.,O
