id,token,tag
0,Большинство,O
1,технологий,O
2,объектно,O
3,-,O
4,ориентированной,O
5,разработки,O
6,опирается,O
7,на,O
8,использование,O
9,универсального,B-TERM
10,языка,I-TERM
11,моделирования,I-TERM
12,UML,I-TERM
13,;,O
14,незаменимыми,O
15,в,O
16,процессе,B-TERM
17,проектирования,I-TERM
18,являются,O
19,диаграммы,O
20,классов,O
21,",",O
22,которые,O
23,служат,O
24,для,O
25,построения,B-TERM
26,модели,I-TERM
27,программной,I-TERM
28,системы,I-TERM
29,.,O
30,Современные,O
31,CASE,B-TERM
32,-,O
33,средства,O
34,",",O
35,являющиеся,O
36,базовыми,O
37,инструментами,O
38,объектно,O
39,-,O
40,ориентированной,O
41,разработки,O
42,",",O
43,не,O
44,имеют,O
45,средств,B-TERM
46,оптимизации,I-TERM
47,UML,I-TERM
48,-,O
49,диаграмм,O
50,.,O
51,В,O
52,статье,O
53,будет,O
54,показано,O
55,",",O
56,как,O
57,можно,O
58,",",O
59,базируясь,O
60,на,O
61,использовании,O
62,шаблонов,O
63,и,O
64,антишаблонов,O
65,проектирования,O
66,",",O
67,провести,O
68,верификацию,B-TERM
69,и,O
70,оптимизацию,B-TERM
71,диаграмм,I-TERM
72,классов,I-TERM
73,.,O
74,Показано,O
75,",",O
76,что,O
77,некоторые,O
78,преобразования,O
79,могут,O
80,быть,O
81,осуществлены,O
82,автоматически,O
83,;,O
84,в,O
85,остальных,O
86,случаях,B-TERM
87,проектировщику,O
88,будет,O
89,указано,O
90,на,O
91,потенциальную,O
92,неэффективность,O
93,модели,O
94,и,O
95,предложены,O
96,рекомендации,O
97,по,O
98,ее,O
99,исправлению,O
100,.,O
101,Предлагается,O
102,дополнить,O
103,CASE,B-TERM
104,-,O
105,средство,O
106,возможностями,B-TERM
107,верификации,I-TERM
108,и,O
109,оптимизации,B-TERM
110,диаграмм,I-TERM
111,классов,O
112,.,O
113,Для,O
114,этой,B-TERM
115,цели,I-TERM
116,разработан,O
117,плагин,O
118,",",O
119,анализирующий,O
120,XMI,O
121,-,O
122,файл,B-TERM
123,",",O
124,содержащий,O
125,описание,O
126,диаграмм,O
127,классов,O
128,.,O
129,Поскольку,O
130,XMI,O
131,-,O
132,представление,B-TERM
133,диаграмм,I-TERM
134,классов,O
135,в,O
136,Rational,O
137,Software,O
138,Architect,O
139,содержит,O
140,избыточную,O
141,информацию,O
142,",",O
143,выбрано,O
144,более,O
145,оптимальное,O
146,представление,B-TERM
147,",",O
148,облегчающее,O
149,реализацию,O
150,алгоритмов,B-TERM
151,поиска,I-TERM
152,ошибочных,O
153,и,O
154,неоптимальных,O
155,фрагментов,O
156,диаграмм,O
157,классов,O
158,.,O
