id,token,tag
0,Работа,O
1,посвящена,O
2,созданию,O
3,объемных,B-TERM
4,моделей,I-TERM
5,",",O
6,объясняющих,O
7,последовательность,O
8,построения,B-TERM
9,касательных,I-TERM
10,плоскостей,I-TERM
11,и,O
12,нормалей,O
13,к,O
14,поверхностям,B-TERM
15,вращения,I-TERM
16,в,O
17,системе,B-TERM
18,трехмерного,I-TERM
19,моделирования,I-TERM
20,Autodesk,I-TERM
21,Inventor,I-TERM
22,.,O
23,Показаны,O
24,преимущества,B-TERM
25,системы,I-TERM
26,Autodesk,I-TERM
27,Inventor,I-TERM
28,в,O
29,сравнении,B-TERM
30,с,O
31,другими,O
32,аналогичными,O
33,разработками,O
34,.,O
35,Данный,O
36,подход,O
37,может,O
38,быть,O
39,использован,O
40,для,O
41,решения,O
42,широкого,O
43,диапазона,O
44,задач,O
45,в,O
46,области,O
47,начертательной,B-TERM
48,геометрии,I-TERM
49,.,O
50,Процесс,B-TERM
51,демонстрации,I-TERM
52,построения,I-TERM
53,касательных,I-TERM
54,плоскостей,I-TERM
55,и,O
56,нормалей,O
57,на,O
58,изготовленных,O
59,моделях,O
60,способствует,O
61,развитию,B-TERM
62,пространственного,I-TERM
63,мышления,I-TERM
64,у,O
65,студентов,O
66,и,O
67,повышению,O
68,качества,O
69,усвоения,O
70,объясняемого,O
71,материала,O
72,.,O
