id,token,tag
0,В,O
1,статье,O
2,рассматривается,O
3,подход,O
4,к,O
5,решению,B-TERM
6,задачи,I-TERM
7,многокритериальной,I-TERM
8,оптимизации,I-TERM
9,в,O
10,моделях,B-TERM
11,прогнозирования,I-TERM
12,временных,I-TERM
13,рядов,I-TERM
14,интервальных,I-TERM
15,дискретных,I-TERM
16,нечетких,I-TERM
17,множеств,I-TERM
18,второго,I-TERM
19,типа,I-TERM
20,(,O
21,ИДНМТ2,O
22,),O
23,",",O
24,при,O
25,этом,O
26,в,O
27,качестве,B-TERM
28,критериев,I-TERM
29,оптимизации,I-TERM
30,используются,O
31,показатель,O
32,средней,O
33,относительной,O
34,ошибки,O
35,прогнозирования,O
36,и,O
37,показатель,O
38,несовпадения,O
39,тенденций,O
40,.,O
41,Приведены,O
42,примеры,O
43,решения,O
44,задач,O
45,краткосрочного,B-TERM
46,прогнозирования,I-TERM
47,временных,I-TERM
48,рядов,I-TERM
49,социально,O
50,-,O
51,экономической,B-TERM
52,сферы,I-TERM
53,в,O
54,условиях,B-TERM
55,многокритериальной,I-TERM
56,оптимизации,B-TERM
57,",",O
58,подтверждающие,O
59,эффективность,O
60,предлагаемого,O
61,подхода,O
62,к,O
63,решению,O
64,задачи,B-TERM
65,многокритериальной,I-TERM
66,оптимизации,B-TERM
67,в,O
68,моделях,O
69,прогнозирования,O
70,на,O
71,основе,O
72,ИДНМТ2,O
73,.,O
