id,token,tag
0,В,O
1,работе,O
2,обсуждаются,O
3,свойства,B-TERM
4,сопряженных,I-TERM
5,круговых,O
6,дуг,O
7,",",O
8,соединяющих,O
9,две,O
10,точки,O
11,на,O
12,плоскости,B-TERM
13,",",O
14,в,O
15,которых,O
16,заданы,O
17,направления,O
18,касательных,B-TERM
19,векторов,I-TERM
20,.,O
21,Предлагается,O
22,метод,B-TERM
23,построения,I-TERM
24,",",O
25,в,O
26,основе,O
27,которого,O
28,лежит,O
29,применение,B-TERM
30,вспомогательной,I-TERM
31,окружности,I-TERM
32,.,O
33,Радиус,B-TERM
34,окружности,I-TERM
35,зависит,O
36,от,O
37,направления,O
38,касательных,B-TERM
39,векторов,I-TERM
40,.,O
41,Доказано,O
42,",",O
43,что,O
44,любая,O
45,точка,B-TERM
46,этой,I-TERM
47,окружности,I-TERM
48,является,O
49,точкой,O
50,сопряжения,O
51,пары,B-TERM
52,круговых,O
53,дуг,O
54,.,O
