id,token,tag
0,Представлены,O
1,результаты,B-TERM
2,системного,I-TERM
3,анализа,I-TERM
4,и,O
5,идентификации,B-TERM
6,радиолокационной,I-TERM
7,системы,I-TERM
8,",",O
9,использующей,O
10,принцип,B-TERM
11,локации,I-TERM
12,«,O
13,на,O
14,просвет,O
15,»,O
16,.,O
17,Рассмотрены,O
18,проблемы,O
19,и,O
20,задачи,O
21,просветной,O
22,радиолокации,B-TERM
23,",",O
24,построена,O
25,и,O
26,обоснована,O
27,феноменологическая,O
28,модель,O
29,хронологической,O
30,эволюции,B-TERM
31,просветных,I-TERM
32,радиолокационных,I-TERM
33,систем,I-TERM
34,.,O
35,На,O
36,основе,O
37,этой,O
38,модели,O
39,построена,O
40,и,O
41,идентифицирована,O
42,математическая,B-TERM
43,модель,I-TERM
44,",",O
45,предназначенная,O
46,для,O
47,применения,O
48,при,O
49,анализе,B-TERM
50,",",O
51,разработке,O
52,и,O
53,проектировании,O
54,просветных,B-TERM
55,радиолокационных,I-TERM
56,систем,I-TERM
57,.,O
58,Основное,O
59,внимание,O
60,в,O
61,работе,O
62,уделено,O
63,исследованию,B-TERM
64,",",O
65,моделированию,B-TERM
66,",",O
67,структурной,O
68,и,O
69,параметрической,O
70,идентификации,B-TERM
71,получаемых,I-TERM
72,при,I-TERM
73,этом,O
74,различных,O
75,вариантов,O
76,построения,B-TERM
77,систем,I-TERM
78,",",O
79,описываемых,O
80,разными,O
81,динамическими,B-TERM
82,моделями,B-TERM
83,и,O
84,характеризуемых,O
85,разными,B-TERM
86,возможностями,I-TERM
87,по,O
88,обеспечению,B-TERM
89,эффективности,I-TERM
90,решения,I-TERM
91,основной,B-TERM
92,задачи,I-TERM
93,радиолокационных,I-TERM
94,систем,I-TERM
95,—,O
96,определению,B-TERM
97,координат,I-TERM
98,объекта,I-TERM
99,.,O
