id,token,tag
0,Статья,O
1,посвящена,O
2,применению,O
3,алгоритма,O
4,Data,B-TERM
5,Mining,I-TERM
6,«,O
7,Деревья,B-TERM
8,решений,I-TERM
9,»,O
10,для,O
11,анализа,B-TERM
12,персональных,I-TERM
13,данных,I-TERM
14,потенциальных,I-TERM
15,клиентов,I-TERM
16,банка,I-TERM
17,.,O
18,Авторами,O
19,ставится,O
20,задача,O
21,по,O
22,выявлению,O
23,персональных,B-TERM
24,данных,I-TERM
25,",",O
26,влияющих,O
27,на,O
28,желание,B-TERM
29,человека,I-TERM
30,воспользоваться,O
31,предложенной,O
32,услугой,B-TERM
33,и,O
34,стать,O
35,клиентом,B-TERM
36,банка,I-TERM
37,.,O
38,Для,O
39,решения,O
40,поставленной,O
41,задачи,O
42,создается,O
43,многомерная,O
44,структура,B-TERM
45,",",O
46,к,O
47,данным,O
48,которой,O
49,применяется,O
50,алгоритм,O
51,«,O
52,Деревья,B-TERM
53,решений,I-TERM
54,»,O
55,",",O
56,анализируются,O
57,возможность,B-TERM
58,и,O
59,особенности,B-TERM
60,его,O
61,применения,O
62,к,O
63,изучению,O
64,персональных,O
65,данных,B-TERM
66,.,O
