id,token,tag
0,Рассматриваются,O
1,типичные,O
2,сценарии,O
3,",",O
4,при,O
5,которых,O
6,возникает,O
7,потребность,B-TERM
8,совместного,I-TERM
9,использования,I-TERM
10,ограниченных,I-TERM
11,общесистемных,I-TERM
12,ресурсов,I-TERM
13,несколькими,O
14,виртуальными,B-TERM
15,машинами,I-TERM
16,.,O
17,Разработаны,O
18,правила,O
19,балансировки,O
20,нагрузки,O
21,в,O
22,зависимости,O
23,от,O
24,информационных,B-TERM
25,процессов,I-TERM
26,",",O
27,выполняемых,O
28,виртуальными,B-TERM
29,машинами,I-TERM
30,.,O
31,Вычисление,B-TERM
32,производительности,I-TERM
33,рассмотренных,I-TERM
34,операций,I-TERM
35,основано,O
36,на,O
37,типизированной,O
38,модели,O
39,",",O
40,что,O
41,дает,O
42,возможность,B-TERM
43,оценки,I-TERM
44,общей,I-TERM
45,производительности,I-TERM
46,.,O
