id,token,tag
0,Настоящий,O
1,обзор,O
2,посвящен,O
3,наиболее,O
4,значимым,O
5,исследованиям,B-TERM
6,процессов,I-TERM
7,теплового,I-TERM
8,воздействия,I-TERM
9,лесных,I-TERM
10,пожаров,I-TERM
11,на,O
12,ткани,O
13,человека,O
14,(,O
15,особенно,O
16,на,O
17,кожные,O
18,покровы,O
19,),O
20,.,O
21,Проведен,O
22,анализ,B-TERM
23,различных,I-TERM
24,исследований,I-TERM
25,",",O
26,выполненных,O
27,с,O
28,середины,O
29,ХХ,O
30,века,O
31,по,O
32,настоящее,B-TERM
33,время,I-TERM
34,.,O
35,Рассматривается,O
36,общая,B-TERM
37,характеристика,I-TERM
38,лесных,O
39,пожаров,O
40,и,O
41,их,O
42,основные,O
43,типы,B-TERM
44,.,O
45,Выделены,O
46,основные,O
47,методы,B-TERM
48,и,O
49,подходы,O
50,",",O
51,использующиеся,O
52,при,O
53,исследовании,B-TERM
54,проблемы,O
55,теплового,O
56,воздействия,O
57,лесных,O
58,пожаров,O
59,на,O
60,ткани,B-TERM
61,человека,I-TERM
62,.,O
63,Рассматриваются,O
64,инструментальные,O
65,",",O
66,расчетные,O
67,и,O
68,расчетно,O
69,-,O
70,эксперимен,B-TERM
71,¬,O
72,тальные,O
73,методы,B-TERM
74,для,O
75,анализа,B-TERM
76,проблемы,O
77,оценки,O
78,теплового,O
79,воздействия,O
80,лесных,O
81,пожаров,O
82,на,O
83,ткани,O
84,человека,O
85,.,O
86,Предлагается,O
87,в,O
88,качестве,O
89,основного,B-TERM
90,метода,I-TERM
91,использовать,O
92,подход,B-TERM
93,математического,I-TERM
94,моделирования,I-TERM
95,для,O
96,исследования,B-TERM
97,указанной,I-TERM
98,проблемы,I-TERM
99,.,O
100,Рассматриваются,O
101,перспективы,B-TERM
102,разработки,I-TERM
103,программных,I-TERM
104,компонент,I-TERM
105,",",O
106,реализующих,O
107,математические,B-TERM
108,модели,I-TERM
109,теплового,I-TERM
110,воздействия,O
111,лесных,O
112,пожаров,O
113,на,O
114,ткани,O
115,человека,O
116,.,O
117,Такие,O
118,програм,O
119,¬,O
120,мные,O
121,реализации,O
122,проблемно,O
123,-,O
124,ориентированных,O
125,алгоритмов,O
126,могут,O
127,стать,O
128,основой,O
129,для,O
130,создания,B-TERM
131,медицинских,I-TERM
132,информационных,I-TERM
133,систем,I-TERM
134,для,O
135,нужд,O
136,МЧС,O
137,и,O
138,скорой,O
139,медицинской,O
140,помощи,O
141,при,O
142,минимизации,O
143,и,O
144,ликвидации,O
145,социального,O
146,ущерба,O
147,от,O
148,лесных,O
149,пожаров,O
150,.,O
