id,token,tag
0,Построена,O
1,математическая,B-TERM
2,модель,I-TERM
3,системы,I-TERM
4,автоматического,I-TERM
5,управления,I-TERM
6,температурой,O
7,с,O
8,циркуляцией,O
9,промежуточного,O
10,теплоносителя,O
11,",",O
12,которая,O
13,реализована,O
14,в,O
15,программной,B-TERM
16,среде,I-TERM
17,Matlab,I-TERM
18,/,O
19,Simulink,O
20,.,O
21,Исследованы,O
22,динамические,O
23,характеристики,O
24,теплового,O
25,объекта,O
26,по,O
27,мощности,O
28,нагревателя,O
29,и,O
30,изменению,O
31,температуры,B-TERM
32,окружающей,I-TERM
33,среды,I-TERM
34,.,O
35,Показано,O
36,",",O
37,что,O
38,позиционная,B-TERM
39,система,I-TERM
40,управления,I-TERM
41,не,O
42,обеспечивает,O
43,требуемую,O
44,точность,B-TERM
45,поддержания,I-TERM
46,температуры,I-TERM
47,рабочего,I-TERM
48,раствора,I-TERM
49,.,O
50,Определены,O
51,параметры,B-TERM
52,настройки,I-TERM
53,системы,I-TERM
54,с,O
55,микропроцессорным,O
56,терморегулятором,O
57,",",O
58,которая,O
59,реализует,O
60,требуемое,O
61,качество,B-TERM
62,управления,I-TERM
63,температурным,O
64,режимом,O
65,.,O
