id,token,tag
0,В,O
1,статье,O
2,рассматриваются,O
3,задачи,O
4,на,O
5,построение,O
6,линий,B-TERM
7,пересечения,I-TERM
8,поверхностей,I-TERM
9,второго,I-TERM
10,порядка,I-TERM
11,в,O
12,системе,B-TERM
13,трехмерного,I-TERM
14,компьютерного,I-TERM
15,моделирования,I-TERM
16,Autodesk,I-TERM
17,Inventor,I-TERM
18,.,O
19,Приведены,O
20,примеры,O
21,создания,B-TERM
22,виртуальных,I-TERM
23,моделей,I-TERM
24,",",O
25,объясняющих,O
26,построение,O
27,линий,O
28,пересечения,O
29,различных,B-TERM
30,поверхностей,I-TERM
31,.,O
32,Использование,O
33,таких,O
34,моделей,O
35,развивает,O
36,способность,B-TERM
37,мысленного,I-TERM
38,воспроизведения,I-TERM
39,пространственного,I-TERM
40,изображения,I-TERM
41,предмета,I-TERM
42,сложной,O
43,формы,O
44,по,O
45,его,O
46,чертежу,O
47,.,O
