id,token,tag
0,В,O
1,статье,O
2,предлагается,O
3,решение,O
4,проблем,O
5,обработки,O
6,нечетко,O
7,-,O
8,темпоральных,B-TERM
9,данных,I-TERM
10,телекоммуникационных,O
11,сетей,O
12,",",O
13,необходимых,O
14,для,O
15,выявления,O
16,и,O
17,прогнозирования,O
18,тенденций,O
19,дальнейшего,O
20,поведения,O
21,абонентов,O
22,.,O
23,На,O
24,основе,O
25,разработанной,O
26,библиотеки,O
27,алгоритмов,B-TERM
28,модели,I-TERM
29,обработки,I-TERM
30,нечетко,O
31,-,O
32,темпоральных,O
33,отношений,O
34,между,O
35,временными,B-TERM
36,точками,I-TERM
37,и,O
38,/,O
39,или,O
40,интервалами,B-TERM
41,был,O
42,реализован,O
43,инструментарий,O
44,",",O
45,позволяющий,O
46,обрабатывать,O
47,и,O
48,визуализировать,O
49,нечетко,O
50,-,O
51,темпоральные,O
52,данные,B-TERM
53,в,I-TERM
54,аналитических,O
55,системах,B-TERM
56,операторов,I-TERM
57,связи,I-TERM
58,.,O
59,Представлены,O
60,результаты,O
61,внедрения,O
62,модуля,O
63,возможностно,O
64,-,O
65,темпоральной,O
66,модели,O
67,при,O
68,реализации,O
69,коммерческого,B-TERM
70,проекта,I-TERM
71,аналитической,I-TERM
72,системы,I-TERM
73,для,O
74,телекоммуникационной,O
75,компании,O
76,.,O
