id,token,tag
0,Предметом,B-TERM
1,исследования,I-TERM
2,является,O
3,оценка,B-TERM
4,величины,I-TERM
5,дефицита,I-TERM
6,бюджета,I-TERM
7,Пенсионного,I-TERM
8,фонда,I-TERM
9,РФ,I-TERM
10,в,O
11,части,B-TERM
12,величины,I-TERM
13,взносов,I-TERM
14,и,O
15,обязательств,O
16,",",O
17,используемых,O
18,для,O
19,выплаты,O
20,страховой,O
21,части,O
22,трудовой,O
23,пенсии,O
24,по,O
25,старости,B-TERM
26,на,O
27,общих,B-TERM
28,основаниях,I-TERM
29,.,O
30,Задачами,B-TERM
31,исследования,I-TERM
32,являются,O
33,:,O
34,построение,B-TERM
35,модели,I-TERM
36,формирования,I-TERM
37,отчислений,I-TERM
38,в,O
39,Пенсионный,O
40,фонд,O
41,Российской,O
42,Федерации,O
43,(,O
44,ПФР,O
45,),O
46,",",O
47,оценка,O
48,величины,B-TERM
49,дефицита,I-TERM
50,ПФР,O
51,при,O
52,существующей,O
53,структуре,B-TERM
54,населения,I-TERM
55,и,O
56,законодательной,O
57,базе,B-TERM
58,",",O
59,а,O
60,также,O
61,анализ,B-TERM
62,результата,I-TERM
63,управляющих,I-TERM
64,воздействий,I-TERM
65,на,O
66,параметры,B-TERM
67,актуарного,I-TERM
68,базиса,I-TERM
69,в,O
70,долгосрочном,O
71,периоде,O
72,.,O
73,В,O
74,ходе,B-TERM
75,исследования,I-TERM
76,разработана,O
77,динамическая,O
78,актуарная,B-TERM
79,модель,I-TERM
80,оценки,I-TERM
81,баланса,I-TERM
82,солидарно,O
83,-,O
84,распределительной,B-TERM
85,пенсионной,I-TERM
86,системы,I-TERM
87,",",O
88,учитывающая,O
89,особенности,B-TERM
90,социально,I-TERM
91,-,O
92,экономического,B-TERM
93,развития,I-TERM
94,и,O
95,законодательства,B-TERM
96,РФ,I-TERM
97,",",O
98,а,O
99,также,O
100,определен,O
101,комплекс,B-TERM
102,управляющих,I-TERM
103,воздействий,I-TERM
104,на,O
105,параметры,B-TERM
106,актуарного,B-TERM
107,базиса,I-TERM
108,",",O
109,позволяющих,O
110,минимизировать,O
111,величину,B-TERM
112,дефицита,I-TERM
113,бюджета,I-TERM
114,Пенсионного,I-TERM
115,фонда,I-TERM
116,РФ,O
117,.,O
118,Показывается,O
119,эквивалентность,O
120,кубической,O
121,и,O
122,тетраэдрической,O
123,моделей,O
124,.,O
