id,token,tag
0,В,O
1,работе,O
2,сравниваются,O
3,результаты,O
4,работы,O
5,алгоритмом,B-TERM
6,машинного,I-TERM
7,обучения,I-TERM
8,SVM,I-TERM
9,",",O
10,ANN,O
11,на,O
12,наборе,B-TERM
13,данных,I-TERM
14,из,I-TERM
15,нормализованных,O
16,ключевых,B-TERM
17,точек,I-TERM
18,и,O
19,дистанций,B-TERM
20,между,O
21,ними,O
22,",",O
23,а,O
24,также,O
25,метода,B-TERM
26,CNN,I-TERM
27,на,O
28,монохромны,O
29,изображениях,O
30,.,O
31,Проводится,O
32,описание,B-TERM
33,процесса,I-TERM
34,подготовки,I-TERM
35,базы,I-TERM
36,для,O
37,обучения,O
38,и,O
39,экспериментального,B-TERM
40,тестирования,I-TERM
41,используемых,I-TERM
42,методов,I-TERM
43,.,O
