id,token,tag
0,Большинство,O
1,технологий,O
2,объектно,O
3,-,O
4,ориентированной,O
5,разработки,O
6,опирается,O
7,на,O
8,использование,O
9,универсального,B-TERM
10,языка,I-TERM
11,моделирования,I-TERM
12,UML,I-TERM
13,;,O
14,особенно,O
15,широко,O
16,в,O
17,процессе,B-TERM
18,проектирования,I-TERM
19,применяются,O
20,диаграммы,O
21,классов,O
22,",",O
23,которые,O
24,служат,O
25,для,O
26,построения,B-TERM
27,модели,I-TERM
28,программной,I-TERM
29,системы,I-TERM
30,",",O
31,отражающей,O
32,закономерности,B-TERM
33,предметной,I-TERM
34,области,I-TERM
35,.,O
36,Современные,O
37,CASE,B-TERM
38,-,O
39,средства,O
40,",",O
41,являющиеся,O
42,базовыми,O
43,инструментами,O
44,объектно,O
45,-,O
46,ориентированной,O
47,разработки,O
48,",",O
49,поддерживают,O
50,UML,O
51,",",O
52,но,O
53,не,O
54,имеют,O
55,средств,B-TERM
56,оптимизации,I-TERM
57,UML,I-TERM
58,-,O
59,диаграмм,O
60,и,O
61,чаще,O
62,всего,O
63,лишены,O
64,возможностей,B-TERM
65,их,I-TERM
66,верификации,I-TERM
67,.,O
68,В,O
69,статье,O
70,будет,O
71,показано,O
72,",",O
73,как,O
74,можно,O
75,представить,O
76,диаграммы,O
77,классов,O
78,в,O
79,виде,O
80,утверждений,O
81,дескрипционной,B-TERM
82,логики,I-TERM
83,",",O
84,а,O
85,затем,O
86,произвести,O
87,их,O
88,верификацию,B-TERM
89,и,O
90,оптимизацию,B-TERM
91,.,O
92,Оптимизация,B-TERM
93,будет,O
94,базироваться,O
95,на,O
96,использовании,O
97,шаблонов,O
98,и,O
99,антишаблонов,O
100,проектирования,O
101,.,O
102,Приведено,O
103,несколько,O
104,конкретных,O
105,примеров,B-TERM
106,оптимизации,I-TERM
107,.,O
108,Показано,O
109,",",O
110,что,O
111,некоторые,O
112,преобразования,O
113,могут,O
114,быть,O
115,осуществлены,O
116,автоматически,O
117,;,O
118,в,O
119,остальных,O
120,случаях,B-TERM
121,проектировщику,O
122,будет,O
123,указано,O
124,на,O
125,неоптимальность,B-TERM
126,модели,I-TERM
127,и,O
128,предложены,O
129,рекомендации,O
130,по,O
131,ее,O
132,исправлению,O
133,.,O
