id,token,tag
0,Для,O
1,исследования,B-TERM
2,алгоритмов,I-TERM
3,построения,I-TERM
4,схем,I-TERM
5,реляционных,I-TERM
6,баз,I-TERM
7,данных,I-TERM
8,к,I-TERM
9,значительное,O
10,количество,O
11,тестовых,B-TERM
12,данных,I-TERM
13,.,O
14,Предлагается,O
15,свести,O
16,задачу,O
17,генерации,B-TERM
18,входных,I-TERM
19,данных,I-TERM
20,к,O
21,генерации,B-TERM
22,предметных,I-TERM
23,предметной,I-TERM
24,области,I-TERM
25,",",O
26,что,O
27,обеспечивает,O
28,необходимый,O
29,объем,B-TERM
30,данных,I-TERM
31,без,O
32,учета,O
33,смысла,O
34,сгенерированной,O
35,семантической,B-TERM
36,информации,I-TERM
37,.,O
38,Разработан,O
39,алгоритм,O
40,генерации,O
41,предметных,B-TERM
42,областей,I-TERM
43,с,O
44,различными,O
45,количественными,O
46,характеристиками,O
47,.,O
