id,token,tag
0,В,O
1,настоящее,B-TERM
2,время,I-TERM
3,объем,B-TERM
4,накопленных,I-TERM
5,генетических,I-TERM
6,данных,I-TERM
7,и,I-TERM
8,знаний,B-TERM
9,о,O
10,процессе,B-TERM
11,передачи,I-TERM
12,наследственной,I-TERM
13,информации,I-TERM
14,позволяют,O
15,предупредить,O
16,возникновение,O
17,болезней,O
18,",",O
19,связанных,O
20,с,O
21,генетическими,O
22,модификациями,O
23,(,O
24,полиморфизмами,B-TERM
25,),O
26,.,O
27,При,O
28,этом,O
29,наиболее,O
30,актуальным,O
31,направлением,B-TERM
32,исследований,I-TERM
33,является,O
34,прогнозирование,O
35,многофакторных,O
36,заболеваниях,O
37,",",O
38,зависящих,O
39,как,O
40,от,O
41,значений,O
42,различных,B-TERM
43,генов,I-TERM
44,",",O
45,так,O
46,и,O
47,от,O
48,фенотипических,O
49,признаков,O
50,(,O
51,факторов,B-TERM
52,окружающей,I-TERM
53,среды,I-TERM
54,),O
55,.,O
56,В,O
57,статье,O
58,рассматривается,O
59,метод,B-TERM
60,выделения,I-TERM
61,решающих,I-TERM
62,правил,I-TERM
63,и,O
64,расчета,B-TERM
65,вероятности,I-TERM
66,заболевания,I-TERM
67,на,O
68,основе,O
69,всех,B-TERM
70,типов,I-TERM
71,факторов,I-TERM
72,риска,I-TERM
73,.,O
74,Формально,O
75,задача,O
76,заключается,O
77,в,O
78,построении,O
79,классификатора,O
80,",",O
81,относящего,O
82,объект,O
83,к,O
84,тому,O
85,или,O
86,иному,O
87,классу,O
88,с,O
89,некоторой,O
90,вероятностной,O
91,оценкой,O
92,.,O
93,Для,O
94,выделения,O
95,решающих,B-TERM
96,правил,I-TERM
97,применяется,O
98,модификация,O
99,технологии,B-TERM
100,конструирования,I-TERM
101,логических,I-TERM
102,моделей,I-TERM
103,в,O
104,виде,B-TERM
105,деревьев,I-TERM
106,решений,I-TERM
107,.,O
108,Полученные,O
109,правила,O
110,используются,O
111,для,O
112,построения,B-TERM
113,деревьев,I-TERM
114,заболевания,O
115,",",O
116,который,O
117,представляет,O
118,собой,O
119,байесовскую,B-TERM
120,сеть,I-TERM
121,доверия,I-TERM
122,.,O
123,Расчет,B-TERM
124,вероятностной,I-TERM
125,оценки,I-TERM
126,выполняется,O
127,по,O
128,параметрам,B-TERM
129,сети,I-TERM
130,.,O
131,Показано,O
132,",",O
133,что,O
134,результаты,O
135,предложенного,O
136,метода,B-TERM
137,прогнозирования,I-TERM
138,имеют,O
139,более,O
140,точные,O
141,результаты,O
142,в,O
143,сравнении,B-TERM
144,с,O
145,методом,B-TERM
146,множественной,I-TERM
147,регрессии,I-TERM
148,и,O
149,классического,O
150,алгоритма,O
151,построения,O
152,деревьев,B-TERM
153,решений,I-TERM
154,(,O
155,C4,O
156,.,O
157,5,O
158,),O
159,.,O
