id,token,tag
0,В,O
1,настоящее,B-TERM
2,время,I-TERM
3,приоритетным,O
4,направлением,O
5,в,O
6,области,O
7,создания,O
8,новых,O
9,пищевых,O
10,продуктов,O
11,является,O
12,разработка,O
13,технологий,O
14,изделий,O
15,специализированного,O
16,назначения,O
17,.,O
18,К,O
19,таким,O
20,видам,O
21,продуктов,O
22,относятся,O
23,безглютеновые,O
24,мучные,O
25,кондитерские,O
26,изделия,O
27,",",O
28,предназначенные,O
29,для,O
30,людей,O
31,",",O
32,больных,O
33,целиакией,O
34,.,O
35,Безглютеновая,O
36,продукция,B-TERM
37,пользуется,O
38,спросом,B-TERM
39,среди,O
40,потребителей,O
41,",",O
42,нуждается,O
43,в,O
44,расширении,B-TERM
45,ассортимента,I-TERM
46,",",O
47,улучшении,O
48,качественных,O
49,показателей,O
50,.,O
51,В,O
52,статье,O
53,приведены,O
54,результаты,B-TERM
55,исследований,I-TERM
56,по,O
57,разработке,O
58,мучных,O
59,кондитерских,O
60,изделий,O
61,на,O
62,основе,O
63,амарантовой,O
64,муки,O
65,",",O
66,не,O
67,содержащих,O
68,глютена,O
69,.,O
70,Использован,O
71,метод,B-TERM
72,имитационного,I-TERM
73,моделирования,I-TERM
74,рецептур,I-TERM
75,безглютеновых,I-TERM
76,мучных,I-TERM
77,кондитерских,I-TERM
78,изделий,I-TERM
79,функциональной,I-TERM
80,направленности,I-TERM
81,с,O
82,целью,B-TERM
83,оптимизации,I-TERM
84,их,I-TERM
85,химического,O
86,состава,O
87,.,O
88,Полученная,O
89,продукция,B-TERM
90,позволит,O
91,разнообразить,O
92,и,O
93,дополнить,O
94,необходимыми,O
95,нутриентами,B-TERM
96,рацион,B-TERM
97,питания,I-TERM
98,для,O
99,людей,O
100,с,O
101,непереносимостью,O
102,глютена,O
103,",",O
104,а,O
105,также,O
106,для,O
107,людей,O
108,",",O
109,соблюдающих,O
110,безглютеновую,O
111,диету,O
112,.,O
