id,token,tag
0,Настоящая,O
1,статья,O
2,посвящена,O
3,рассмотрению,O
4,институционально,O
5,-,O
6,идеологических,O
7,причин,B-TERM
8,кризисов,I-TERM
9,рыночного,I-TERM
10,хозяйства,I-TERM
11,.,O
12,Автор,O
13,обращается,O
14,к,O
15,анализу,B-TERM
16,данных,I-TERM
17,по,I-TERM
18,экономическому,B-TERM
19,развитию,I-TERM
20,Британии,I-TERM
21,в,O
22,XVIII,O
23,—,O
24,нач,O
25,.,O
26,XX,O
27,вв,O
28,.,O
29,Выдвинут,O
30,тезис,B-TERM
31,",",O
32,что,O
33,Великая,O
34,депрессия,B-TERM
35,имеет,O
36,те,O
37,же,O
38,корни,B-TERM
39,",",O
40,что,O
41,и,O
42,спад,O
43,в,O
44,капиталистической,O
45,экономике,B-TERM
46,последней,I-TERM
47,четверти,I-TERM
48,XIX,I-TERM
49,в,O
50,.,O
51,—,O
52,непропорциональное,O
53,распределение,B-TERM
54,доходов,I-TERM
55,между,O
56,наемными,B-TERM
57,работниками,I-TERM
58,и,O
59,предпринимателями,O
60,.,O
