id,token,tag
0,В,O
1,работе,O
2,рассмотрены,O
3,вопросы,O
4,оценки,O
5,поведения,B-TERM
6,сетевого,I-TERM
7,трафика,I-TERM
8,",",O
9,обладающего,O
10,самоподобными,O
11,свойствами,B-TERM
12,и,O
13,анализа,B-TERM
14,полученных,I-TERM
15,данных,I-TERM
16,.,O
17,Полученные,O
18,результаты,O
19,дают,O
20,характеристику,B-TERM
21,производительности,I-TERM
22,компьютерных,I-TERM
23,сетей,I-TERM
24,сети,I-TERM
25,Internet,I-TERM
26,Целью,B-TERM
27,данного,I-TERM
28,исследования,I-TERM
29,было,O
30,определение,B-TERM
31,условия,O
32,возникновения,O
33,хаотических,O
34,явлений,O
35,в,O
36,инфокоммуникационных,O
37,системах,B-TERM
38,и,O
39,способы,O
40,уменьшения,O
41,их,O
42,влияния,B-TERM
43,на,O
44,пропускную,B-TERM
45,способность,I-TERM
46,таких,I-TERM
47,систем,I-TERM
48,.,O
49,На,O
50,данный,O
51,момент,O
52,протокол,O
53,TCP,O
54,является,O
55,основным,O
56,протоколом,O
57,передачи,B-TERM
58,данных,I-TERM
59,",",O
60,считающийся,O
61,основной,O
62,причиной,O
63,самоподобия,B-TERM
64,трафика,O
65,",",O
66,поскольку,O
67,статистические,O
68,характеристики,O
69,такого,O
70,трафика,O
71,обладают,O
72,свойством,B-TERM
73,временной,O
74,масштабной,O
75,инвариантности,O
76,(,O
77,самоподобием,B-TERM
78,),O
79,.,O
80,Этот,O
81,факт,B-TERM
82,был,O
83,подтвержден,O
84,многочисленными,B-TERM
85,исследованиями,I-TERM
86,процессов,I-TERM
87,в,O
88,глобальной,B-TERM
89,сети,I-TERM
90,Internet,I-TERM
91,.,O
92,В,O
93,работе,O
94,проведена,O
95,оценка,O
96,работы,O
97,модельной,O
98,компьютерной,O
99,сети,O
100,с,O
101,помощью,B-TERM
102,метода,I-TERM
103,мультифрактального,I-TERM
104,анализа,I-TERM
105,производительности,I-TERM
106,методов,B-TERM
107,нелинейной,I-TERM
108,динамики,I-TERM
109,",",O
110,которые,O
111,используются,O
112,для,O
113,моделирования,B-TERM
114,",",O
115,анализа,B-TERM
116,и,O
117,контроля,B-TERM
118,сложных,I-TERM
119,систем,I-TERM
120,в,O
121,различных,O
122,областях,B-TERM
123,науки,I-TERM
124,и,O
125,техники,O
126,.,O
127,С,O
128,ростом,B-TERM
129,глобальной,I-TERM
130,сети,I-TERM
131,Internet,I-TERM
132,увеличивается,O
133,нагрузка,O
134,на,O
135,каналы,O
136,связи,O
137,",",O
138,что,O
139,в,O
140,свою,O
141,очередь,O
142,накладывает,O
143,более,O
144,жесткие,O
145,требования,O
146,к,O
147,качеству,O
148,обслуживания,O
149,(,O
150,QoS,O
151,),O
152,.,O
153,Поскольку,O
154,сетевой,O
155,трафик,O
156,обладает,O
157,самоподобием,B-TERM
158,",",O
159,то,O
160,игнорирование,O
161,подобных,B-TERM
162,особенностей,I-TERM
163,может,O
164,привести,O
165,к,O
166,увеличению,B-TERM
167,задержки,I-TERM
168,в,O
169,передаче,B-TERM
170,данных,I-TERM
171,",",O
172,уменьшению,B-TERM
173,пропускной,I-TERM
174,способности,I-TERM
175,компьютерной,I-TERM
176,сети,I-TERM
177,и,O
178,даже,O
179,к,O
180,потерям,O
181,пакетов,O
182,.,O
183,Это,O
184,накладывает,O
185,определенные,O
186,ограничения,O
187,на,O
188,традиционные,O
189,методы,B-TERM
190,при,O
191,проектировании,O
192,современных,B-TERM
193,компьютерных,I-TERM
194,сетей,I-TERM
195,.,O
196,В,O
197,работе,O
198,предложен,O
199,метод,B-TERM
200,анализа,I-TERM
201,производительности,I-TERM
202,компьютерных,I-TERM
203,сетей,I-TERM
204,",",O
205,учитывающий,O
206,особенности,B-TERM
207,протекающих,I-TERM
208,в,I-TERM
209,них,O
210,процессов,B-TERM
211,.,O
212,Данная,B-TERM
213,методика,I-TERM
214,дает,O
215,возможность,B-TERM
216,дальнейшего,I-TERM
217,прогнозирования,I-TERM
218,поведения,I-TERM
219,сетевого,I-TERM
220,трафика,O
221,при,O
222,изменении,B-TERM
223,ключевых,I-TERM
224,параметров,I-TERM
225,",",O
226,влияющих,O
227,на,O
228,работу,O
229,сети,O
230,",",O
231,а,O
232,также,O
233,предотвращения,O
234,сетевых,O
235,перегрузок,O
236,и,O
237,минимизации,O
238,хаотических,O
239,явлений,O
240,.,O
