id,token,tag
0,Рассматриваются,O
1,вопросы,O
2,нормативно,B-TERM
3,-,O
4,правового,B-TERM
5,обеспечения,I-TERM
6,и,O
7,обосновываются,O
8,предложения,B-TERM
9,по,O
10,развитию,B-TERM
11,электронного,I-TERM
12,обучения,I-TERM
13,в,O
14,России,O
15,в,O
16,части,O
17,значительного,B-TERM
18,уменьшения,I-TERM
19,влияния,I-TERM
20,федерального,I-TERM
21,органа,I-TERM
22,исполнительной,I-TERM
23,власти,I-TERM
24,",",O
25,осуществляющего,O
26,функции,B-TERM
27,по,O
28,выработке,B-TERM
29,государственной,I-TERM
30,политики,I-TERM
31,и,O
32,нормативно,O
33,-,O
34,правовому,O
35,регулированию,O
36,в,O
37,сфере,B-TERM
38,образования,I-TERM
39,",",O
40,на,O
41,регламентацию,O
42,форм,O
43,",",O
44,средств,O
45,",",O
46,методов,B-TERM
47,и,O
48,технологий,O
49,обучения,O
50,",",O
51,а,O
52,также,O
53,вмешательства,O
54,в,O
55,учебный,B-TERM
56,процесс,I-TERM
57,организаций,I-TERM
58,профессионального,I-TERM
59,образования,I-TERM
60,",",O
61,независимо,O
62,от,O
63,форм,B-TERM
64,собственности,I-TERM
65,.,O
