id,token,tag
0,Предложен,O
1,подход,O
2,к,O
3,оценке,O
4,качества,B-TERM
5,моделей,I-TERM
6,прогнозирования,I-TERM
7,на,O
8,основе,O
9,строго,O
10,бинарных,O
11,деревьев,O
12,и,O
13,модифицированного,O
14,алгоритма,B-TERM
15,клонального,I-TERM
16,отбора,I-TERM
17,.,O
18,Показана,O
19,целесообразность,O
20,одновременного,O
21,учета,O
22,значений,O
23,средней,O
24,относительной,O
25,ошибки,O
26,прогнозирования,O
27,и,O
28,показателя,O
29,несовпадения,O
30,тенденций,O
31,при,O
32,оценке,O
33,качества,O
34,моделей,O
35,прогнозирования,O
36,",",O
37,определяемых,O
38,при,O
39,реализации,O
40,модифицированного,O
41,алгоритма,B-TERM
42,клонального,I-TERM
43,отбора,I-TERM
44,с,O
45,использованием,O
46,аналитических,O
47,зависимостей,O
48,",",O
49,формируемых,O
50,на,O
51,основе,O
52,строго,O
53,бинарных,O
54,деревьев,O
55,.,O
