id,token,tag
0,В,O
1,статье,O
2,рассмотрены,O
3,геофизические,B-TERM
4,методы,I-TERM
5,исследования,I-TERM
6,скважин,I-TERM
7,",",O
8,а,O
9,также,O
10,их,O
11,роль,O
12,при,O
13,отработке,O
14,пластово,O
15,-,O
16,инфильтрационных,B-TERM
17,месторождений,I-TERM
18,урана,I-TERM
19,Казахстана,I-TERM
20,.,O
21,Сделан,O
22,анализ,B-TERM
23,существующих,I-TERM
24,программ,I-TERM
25,для,O
26,обработки,B-TERM
27,данных,I-TERM
28,каротажа,I-TERM
29,показана,O
30,необходимость,O
31,создания,B-TERM
32,системы,I-TERM
33,",",O
34,позволяющей,O
35,выполнять,O
36,интерпретацию,B-TERM
37,данных,I-TERM
38,каротажа,I-TERM
39,в,O
40,автоматическом,O
41,режиме,O
42,",",O
43,возможно,O
44,с,O
45,предварительным,O
46,обучением,O
47,на,O
48,данных,B-TERM
49,",",O
50,проинтерпретированных,O
51,экспертами,B-TERM
52,.,O
