id,token,tag
0,В,O
1,работе,O
2,проанализирован,O
3,патентный,B-TERM
4,ландшафт,B-TERM
5,в,O
6,сфере,B-TERM
7,спутниковой,I-TERM
8,навигации,I-TERM
9,GPS,I-TERM
10,—,O
11,ГЛОНАСС,B-TERM
12,с,O
13,использованием,O
14,международного,O
15,патентного,O
16,ресурса,O
17,Qustel,O
18,-,O
19,Orbit,O
20,.,O
21,Изобретения,O
22,",",O
23,основанные,O
24,на,O
25,использовании,B-TERM
26,систем,I-TERM
27,GPS,I-TERM
28,—,O
29,ГЛОНАСС,B-TERM
30,",",O
31,имеют,O
32,широкий,O
33,спектр,B-TERM
34,областей,I-TERM
35,практического,I-TERM
36,применения,I-TERM
37,.,O
38,В,O
39,рассматриваемой,O
40,области,O
41,наибольшее,O
42,число,B-TERM
43,патентов,I-TERM
44,опубликовано,O
45,в,O
46,Китае,O
47,",",O
48,США,O
49,",",O
50,Корее,O
51,.,O
52,Россия,O
53,занимает,O
54,одиннадцатую,O
55,позицию,O
56,в,O
57,данном,O
58,рейтинге,O
59,.,O
60,Предложен,O
61,новый,O
62,подход,O
63,к,O
64,позиционированию,O
65,патентообладателей,O
66,на,O
67,основе,O
68,следующих,O
69,показателей,O
70,:,O
71,число,O
72,патентных,B-TERM
73,семей,I-TERM
74,и,O
75,сходство,O
76,патентных,O
77,портфелей,O
78,патентообладателей,O
79,.,O
80,Приведен,O
81,пример,O
82,позиционирования,O
83,патентообладателей,O
84,в,O
85,области,O
86,GPS,O
87,-,O
88,ГЛОНАСС,B-TERM
89,на,O
90,территории,O
91,Российской,O
92,Федерации,O
93,.,O
