id,token,tag
0,Рассматривается,O
1,задача,B-TERM
2,оптимального,I-TERM
3,управления,I-TERM
4,местности,O
5,с,O
6,помощью,B-TERM
7,группы,I-TERM
8,мобильных,I-TERM
9,роботов,I-TERM
10,.,O
11,В,O
12,задаче,O
13,заданы,O
14,местность,O
15,с,O
16,препятствиями,O
17,и,O
18,случайно,O
19,расположенные,O
20,метки,O
21,на,O
22,территории,O
23,.,O
24,Объекты,B-TERM
25,управления,I-TERM
26,имеют,O
27,области,O
28,просмотра,O
29,.,O
30,Необходимо,O
31,найти,O
32,оптимальное,B-TERM
33,управление,I-TERM
34,",",O
35,которое,O
36,позволит,O
37,покрыть,O
38,областями,B-TERM
39,просмотра,I-TERM
40,роботов,I-TERM
41,наибольшее,O
42,количество,O
43,меток,O
44,за,O
45,заданное,O
46,время,O
47,или,O
48,покрыть,O
49,все,O
50,метки,O
51,за,O
52,минимальное,O
53,время,O
54,.,O
55,Дополнительно,O
56,в,O
57,контролируемой,O
58,области,O
59,находятся,O
60,препятствия,O
61,",",O
62,которые,O
63,не,O
64,позволяют,O
65,обеспечить,O
66,движение,B-TERM
67,роботов,I-TERM
68,по,O
69,пути,O
70,минимальной,B-TERM
71,длины,I-TERM
72,.,O
73,Для,O
74,решения,O
75,задачи,O
76,использован,O
77,эволюционный,B-TERM
78,алгоритм,I-TERM
79,серого,I-TERM
80,волка,I-TERM
81,.,O
82,Предложены,O
83,два,O
84,подхода,O
85,к,O
86,поиску,B-TERM
87,оптимального,I-TERM
88,управления,I-TERM
89,на,O
90,основе,O
91,эволюционного,O
92,алгоритма,O
93,:,O
94,прямой,O
95,поиск,O
96,и,O
97,двухэтапный,O
98,поиск,O
99,так,O
100,называемого,O
101,синтезированного,O
102,оптимального,B-TERM
103,управления,I-TERM
104,.,O
105,Представлены,O
106,результаты,O
107,решения,O
108,задачи,O
109,с,O
110,помощью,O
111,обоих,O
112,подходов,O
113,.,O
