id,token,tag
0,В,O
1,статье,O
2,рассматривается,O
3,задача,B-TERM
4,классификации,I-TERM
5,данных,I-TERM
6,в,I-TERM
7,образовательной,O
8,сфере,O
9,в,O
10,контексте,B-TERM
11,предсказания,O
12,успешности,O
13,прохождения,O
14,итоговой,O
15,государственной,B-TERM
16,аттестации,I-TERM
17,выпускниками,O
18,средней,O
19,школы,O
20,.,O
21,Такие,O
22,данные,B-TERM
23,могут,O
24,быть,O
25,несбалансированными,O
26,.,O
27,Для,O
28,решения,O
29,этой,O
30,задачи,B-TERM
31,классификации,I-TERM
32,использовать,O
33,SVM,O
34,-,O
35,классификаторы,O
36,на,O
37,основе,O
38,модифицированного,O
39,PSO,O
40,-,O
41,алгоритма,O
42,",",O
43,реализующего,O
44,одновременный,O
45,поиск,B-TERM
46,типа,I-TERM
47,функции,I-TERM
48,ядра,I-TERM
49,",",O
50,значений,B-TERM
51,параметров,I-TERM
52,функции,I-TERM
53,ядра,I-TERM
54,и,O
55,значения,B-TERM
56,параметра,I-TERM
57,регуляризации,I-TERM
58,.,O
59,Для,O
60,восстановления,O
61,баланса,O
62,классов,O
63,предлагается,O
64,применять,O
65,стратегии,B-TERM
66,сэмплинга,O
67,на,O
68,основе,O
69,SMOTE,O
70,-,O
71,алгоритма,O
72,.,O
73,Анализ,B-TERM
74,результатов,I-TERM
75,классификации,I-TERM
76,с,O
77,использованием,O
78,SVM,O
79,-,O
80,классификаторов,O
81,на,O
82,основе,O
83,модифицированного,O
84,PSO,O
85,-,O
86,алгоритма,O
87,и,O
88,стратегий,B-TERM
89,сэмплинга,I-TERM
90,и,O
91,результатов,O
92,",",O
93,полученных,O
94,в,O
95,статистических,O
96,пакетах,O
97,программ,O
98,",",O
99,свидетельствует,O
100,о,O
101,целесообразности,O
102,применения,O
103,предлагаемого,O
104,инструментария,O
105,к,O
106,решению,O
107,задачи,B-TERM
108,классификации,B-TERM
109,данных,I-TERM
110,в,O
111,образовательной,O
112,сфере,O
113,.,O
