id,token,tag
0,В,O
1,исследовании,B-TERM
2,поднят,O
3,вопрос,O
4,о,O
5,необходимости,O
6,проверки,O
7,соответствия,O
8,навыков,B-TERM
9,образовательной,I-TERM
10,программы,I-TERM
11,текущим,O
12,реалиям,O
13,.,O
14,В,O
15,качестве,O
16,исходных,B-TERM
17,данных,I-TERM
18,о,I-TERM
19,выборка,B-TERM
20,из,O
21,20,O
22,навыков,O
23,",",O
24,разделенных,O
25,на,O
26,5,O
27,групп,O
28,.,O
29,Проведен,O
30,анализ,B-TERM
31,этих,I-TERM
32,навыков,I-TERM
33,с,O
34,использованием,B-TERM
35,данных,I-TERM
36,о,O
37,патентной,O
38,активности,O
39,и,O
40,состоянии,B-TERM
41,рынка,I-TERM
42,труда,I-TERM
43,.,O
44,Для,O
45,этого,O
46,задействован,O
47,сервис,O
48,прогнозного,B-TERM
49,обучения,I-TERM
50,",",O
51,в,O
52,котором,O
53,были,O
54,внесены,O
55,доработки,O
56,в,O
57,соответствии,O
58,с,O
59,требованиями,B-TERM
60,исследования,I-TERM
61,.,O
62,Результаты,O
63,показывают,O
64,",",O
65,что,O
66,существует,O
67,высокий,O
68,уровень,B-TERM
69,корреляции,I-TERM
70,между,O
71,патентной,O
72,активностью,O
73,и,O
74,последующей,O
75,востребованностью,O
76,навыков,O
77,на,O
78,рынке,B-TERM
79,труда,I-TERM
80,.,O
