id,token,tag
0,На,O
1,примере,O
2,решения,O
3,задач,O
4,о,O
5,максимальном,O
6,объеме,B-TERM
7,коробки,I-TERM
8,при,O
9,раскрое,O
10,листа,O
11,и,O
12,раскрое,B-TERM
13,бесконечного,I-TERM
14,ряда,I-TERM
15,коробок,I-TERM
16,в,O
17,форме,B-TERM
18,фрактала,I-TERM
19,",",O
20,обсуждаются,O
21,такие,O
22,инструменты,B-TERM
23,математики,I-TERM
24,:,O
25,функция,B-TERM
26,одной,I-TERM
27,и,I-TERM
28,нескольких,O
29,переменных,O
30,",",O
31,ее,O
32,экстремальные,O
33,точки,O
34,",",O
35,частная,B-TERM
36,производная,B-TERM
37,",",O
38,система,B-TERM
39,уравнений,I-TERM
40,",",O
41,фрактал,B-TERM
42,",",O
43,бесконечный,O
44,сходящийся,O
45,ряд,B-TERM
46,",",O
47,оптимизация,B-TERM
48,и,O
49,др,O
50,.,O
51,Рассмотрены,O
52,вопросы,O
53,использования,O
54,анимации,O
55,для,O
56,постановки,B-TERM
57,задачи,I-TERM
58,и,O
59,генерации,O
60,новых,B-TERM
61,математических,I-TERM
62,констант,I-TERM
63,.,O
64,Показана,O
65,реализация,O
66,простейшего,B-TERM
67,алгоритма,I-TERM
68,численной,I-TERM
69,оптимизации,I-TERM
70,.,O
71,Статья,O
72,является,O
73,вкладом,O
74,в,O
75,создание,O
76,новой,O
77,учебной,O
78,дисциплины,O
79,с,O
80,условным,O
81,названием,O
82,физико,O
83,-,O
84,математическая,O
85,информатика,B-TERM
86,(,O
87,ФМИ,O
88,),O
89,.,O
