id,token,tag
0,Представлены,O
1,результаты,B-TERM
2,исследования,I-TERM
3,и,O
4,реализации,O
5,программно,B-TERM
6,-,O
7,аппаратного,B-TERM
8,вычислительного,I-TERM
9,механизмов,I-TERM
10,стабилизации,I-TERM
11,двуного,I-TERM
12,шагающего,I-TERM
13,робота,I-TERM
14,AnyWalker,I-TERM
15,.,O
16,Приводится,O
17,описание,O
18,конструктивных,B-TERM
19,особенностей,I-TERM
20,робота,I-TERM
21,AnyWalker,O
22,",",O
23,связанных,O
24,с,O
25,стабилизацией,O
26,его,O
27,равновесия,O
28,при,O
29,ходьбе,B-TERM
30,.,O
31,На,O
32,основе,O
33,разработанной,O
34,имитационной,B-TERM
35,Simulink,I-TERM
36,-,O
37,модели,B-TERM
38,механизмов,I-TERM
39,стабилизации,I-TERM
40,проведено,O
41,модельное,B-TERM
42,исследование,I-TERM
43,параметров,I-TERM
44,.,O
45,Осуществлен,O
46,выбор,O
47,аппаратных,B-TERM
48,компонентов,I-TERM
49,для,O
50,управления,B-TERM
51,маховиками,O
52,",",O
53,с,O
54,которым,O
55,система,B-TERM
56,стабилизации,I-TERM
57,смогла,O
58,бы,O
59,работать,O
60,в,O
61,режиме,O
62,реального,O
63,времени,O
64,",",O
65,а,O
66,также,O
67,обеспечивалось,O
68,масштабировании,B-TERM
69,системы,I-TERM
70,до,O
71,механизмов,O
72,трехосевой,B-TERM
73,стабилизации,I-TERM
74,.,O
