id,token,tag
0,В,O
1,статье,O
2,выполнен,O
3,анализ,B-TERM
4,работ,I-TERM
5,по,O
6,прогнозированию,O
7,изменений,O
8,рынка,B-TERM
9,ценных,I-TERM
10,бумаг,I-TERM
11,на,O
12,основе,B-TERM
13,методов,I-TERM
14,анализа,I-TERM
15,анализа,I-TERM
16,текстовых,I-TERM
17,.,O
18,Рассмотрена,O
19,роль,B-TERM
20,методов,I-TERM
21,интеллектуального,I-TERM
22,анализа,I-TERM
23,текста,I-TERM
24,в,O
25,автоматизации,B-TERM
26,исследований,I-TERM
27,на,O
28,основе,O
29,традиционных,B-TERM
30,методологий,I-TERM
31,прогнозирования,I-TERM
32,:,O
33,техническом,O
34,и,O
35,фундаментальном,O
36,анализе,B-TERM
37,.,O
38,Сделан,O
39,вывод,O
40,об,O
41,актуальности,O
42,и,O
43,необходимости,O
44,расширения,O
45,традиционных,B-TERM
46,методов,I-TERM
47,средствами,I-TERM
48,интеллектуального,I-TERM
49,анализа,I-TERM
50,текстовых,B-TERM
51,сообщений,I-TERM
52,новостных,B-TERM
53,данных,I-TERM
54,",",O
55,повышающего,O
56,эффективность,B-TERM
57,прогноза,I-TERM
58,котировок,I-TERM
59,рынка,I-TERM
60,ценных,I-TERM
61,бумаг,I-TERM
62,.,O
63,Обоснована,O
64,необходимость,O
65,учета,B-TERM
66,данных,I-TERM
67,",",O
68,извлекаемых,O
69,из,O
70,новостных,O
71,и,O
72,текстовых,O
73,сообщений,B-TERM
74,",",O
75,характеризующих,O
76,эмоциональную,O
77,окраску,B-TERM
78,событий,I-TERM
79,",",O
80,влияющих,O
81,на,O
82,изменения,O
83,рынка,O
84,(,O
85,поведенческая,B-TERM
86,экономика,B-TERM
87,",",O
88,эмоциональный,B-TERM
89,анализ,I-TERM
90,),O
91,.,O
92,Сделан,O
93,обзор,O
94,применения,B-TERM
95,методов,I-TERM
96,анализа,I-TERM
97,и,O
98,прогнозирования,O
99,изменений,O
100,рынка,O
101,ценных,B-TERM
102,бумаг,I-TERM
103,",",O
104,основанных,O
105,на,O
106,таких,O
107,моделях,O
108,",",O
109,как,O
110,машинное,B-TERM
111,обучение,I-TERM
112,",",O
113,нейронные,B-TERM
114,сети,I-TERM
115,",",O
116,нечеткая,B-TERM
117,логика,I-TERM
118,",",O
119,метод,B-TERM
120,опорных,I-TERM
121,векторов,I-TERM
122,регрессии,I-TERM
123,",",O
124,генетического,B-TERM
125,программирования,I-TERM
126,сетевых,I-TERM
127,приложений,I-TERM
128,и,O
129,др,O
130,.,O
