id,token,tag
0,В,O
1,работе,O
2,рассматривается,O
3,задача,O
4,генерации,O
5,задающих,O
6,воздействий,O
7,для,O
8,шагающих,O
9,роботов,B-TERM
10,с,O
11,упругими,O
12,элементами,O
13,.,O
14,Наличие,O
15,упругих,O
16,элементов,O
17,в,O
18,конструкции,O
19,шагающего,O
20,робота,B-TERM
21,в,O
22,первую,O
23,очередь,O
24,влияет,O
25,на,O
26,его,O
27,динамические,O
28,характеристики,O
29,",",O
30,тогда,O
31,как,O
32,задача,O
33,генерации,O
34,задающих,O
35,воздействий,O
36,для,O
37,системы,B-TERM
38,управления,I-TERM
39,шагающего,I-TERM
40,для,O
41,многозвенных,O
42,механизмов,O
43,зачастую,O
44,рассматривается,O
45,в,O
46,кинематической,O
47,постановке,O
48,.,O
49,При,O
50,этом,O
51,наличие,O
52,таких,O
53,элементов,O
54,может,O
55,оказывать,O
56,влияние,B-TERM
57,на,O
58,объем,B-TERM
59,допустимых,I-TERM
60,движений,I-TERM
61,робота,I-TERM
62,",",O
63,что,O
64,должно,O
65,учитываться,O
66,при,O
67,генерации,O
68,траекторий,O
69,робота,B-TERM
70,.,O
71,В,O
72,частности,O
73,",",O
74,это,O
75,происходит,O
76,",",O
77,когда,O
78,робот,B-TERM
79,имеет,O
80,кинематическую,O
81,структуру,B-TERM
82,дерева,I-TERM
83,",",O
84,причем,O
85,упругие,O
86,элементы,O
87,установлены,O
88,последовательно,O
89,с,O
90,жесткими,O
91,звеньями,O
92,.,O
93,В,O
94,статье,O
95,рассматривается,O
96,традиционное,O
97,разбиение,O
98,задачи,O
99,генерации,O
100,задающих,O
101,воздействий,O
102,для,O
103,системы,B-TERM
104,управления,I-TERM
105,шагающего,O
106,робота,B-TERM
107,на,O
108,задачи,O
109,генерации,O
110,последовательности,O
111,шагов,O
112,",",O
113,траектории,O
114,центра,O
115,масс,O
116,",",O
117,траекторий,O
118,стоп,O
119,и,O
120,решения,O
121,обратной,B-TERM
122,задачи,I-TERM
123,кинематики,I-TERM
124,.,O
125,В,O
126,статье,O
127,предложены,O
128,способы,O
129,учета,O
130,при,O
131,построении,O
132,траекторий,O
133,неточности,O
134,позиционирования,O
135,звеньев,O
136,робота,B-TERM
137,",",O
138,связанной,O
139,с,O
140,наличием,O
141,упругих,O
142,элементов,O
143,.,O
144,Предложен,O
145,способ,O
146,коррекции,O
147,траектории,O
148,стоп,O
149,робота,B-TERM
150,при,O
151,наличии,O
152,самопересечений,O
153,механизма,O
154,.,O
155,Рассмотрен,O
156,способ,O
157,решения,O
158,обратной,B-TERM
159,задачи,I-TERM
160,кинематики,O
161,с,O
162,учетом,B-TERM
163,действия,I-TERM
164,упругих,I-TERM
165,элементов,I-TERM
166,для,O
167,случая,B-TERM
168,",",O
169,когда,O
170,те,O
171,соединены,O
172,последовательно,O
173,.,O
