id,token,tag
0,Предложен,O
1,новый,O
2,способ,B-TERM
3,рельефной,I-TERM
4,маркировки,I-TERM
5,монтажных,I-TERM
6,трубок,I-TERM
7,и,O
8,муфт,O
9,из,O
10,полимерных,O
11,материалов,O
12,c,O
13,«,O
14,памятью,O
15,формы,O
16,»,O
17,.,O
18,Приведены,O
19,методика,O
20,и,O
21,результаты,O
22,инструментальной,O
23,оценки,B-TERM
24,стереометрии,I-TERM
25,рельефной,I-TERM
26,маркировки,I-TERM
27,монтажных,O
28,деталей,O
29,для,O
30,авиационной,O
31,техники,O
32,из,O
33,поливинилхлорида,O
34,",",O
35,полиэтилентерефталата,O
36,и,O
37,полистирола,O
38,.,O
39,Параметры,B-TERM
40,точечной,I-TERM
41,рельефной,I-TERM
42,маркировки,I-TERM
43,и,O
44,соответствие,O
45,формы,O
46,точек,O
47,стандарту,B-TERM
48,шрифта,I-TERM
49,Брайля,I-TERM
50,определены,O
51,неразрушающим,O
52,методом,B-TERM
53,по,O
54,цвету,B-TERM
55,интерференционной,I-TERM
56,картины,I-TERM
57,с,O
58,точностью,B-TERM
59,0,O
60,",",O
61,02,O
62,мм,O
63,.,O
