id,token,tag
0,В,O
1,статье,O
2,рассказано,O
3,",",O
4,как,O
5,можно,O
6,провести,O
7,реальную,O
8,лабораторную,O
9,работу,O
10,по,O
11,физике,B-TERM
12,(,O
13,механике,O
14,),O
15,с,O
16,привлечением,O
17,современных,B-TERM
18,математических,I-TERM
19,пакетов,I-TERM
20,",",O
21,в,O
22,частности,O
23,пакета,O
24,Mathcad,O
25,.,O
26,Рассматриваются,O
27,методы,B-TERM
28,визуализации,I-TERM
29,решений,I-TERM
30,статики,I-TERM
31,",",O
32,кинематики,O
33,и,O
34,динамики,O
35,с,O
36,использованием,B-TERM
37,анализа,I-TERM
38,сил,I-TERM
39,",",O
40,действующих,O
41,на,O
42,материальные,O
43,точки,O
44,(,O
45,ньютоновский,O
46,подход,O
47,),O
48,",",O
49,и,O
50,с,O
51,минимизацией,O
52,энергии,O
53,(,O
54,метод,B-TERM
55,Лагранжа,I-TERM
56,),O
57,.,O
58,Описаны,O
59,методы,B-TERM
60,визуализации,I-TERM
61,решений,O
62,с,O
63,помощью,O
64,статической,O
65,графики,O
66,и,O
67,динамической,O
68,анимации,O
69,с,O
70,отображением,B-TERM
71,траекторий,I-TERM
72,движущихся,I-TERM
73,материальных,B-TERM
74,точек,I-TERM
75,.,O
