id,token,tag
0,Настоящий,O
1,обзор,O
2,посвящен,O
3,наиболее,O
4,интригующим,O
5,результатам,B-TERM
6,математической,I-TERM
7,теории,I-TERM
8,игр,I-TERM
9,",",O
10,полученным,O
11,",",O
12,в,O
13,основном,O
14,",",O
15,в,O
16,последние,O
17,десять,O
18,лет,O
19,.,O
20,Это,O
21,результаты,O
22,",",O
23,которые,O
24,объясняют,O
25,",",O
26,как,O
27,происходит,O
28,взаимодействие,B-TERM
29,большого,I-TERM
30,числа,I-TERM
31,лиц,I-TERM
32,с,O
33,различными,O
34,интересами,O
35,(,O
36,так,O
37,называемые,O
38,некоалиционные,O
39,или,O
40,некооперативные,B-TERM
41,игры,I-TERM
42,),O
43,в,O
44,современных,O
45,глобальных,B-TERM
46,технических,I-TERM
47,системах,I-TERM
48,",",O
49,таких,O
50,",",O
51,например,O
52,",",O
53,как,O
54,Интернет,O
55,.,O
56,В,O
57,частности,O
58,",",O
59,одним,O
60,из,O
61,самых,O
62,важных,O
63,результатов,O
64,следует,O
65,считать,O
66,то,O
67,",",O
68,что,O
69,в,O
70,таких,O
71,системах,B-TERM
72,общее,I-TERM
73,благо,I-TERM
74,часто,O
75,достижимо,O
76,без,O
77,вмешательства,B-TERM
78,единого,I-TERM
79,органа,I-TERM
80,управления,I-TERM
81,(,O
82,«,O
83,диктатора,O
84,»,O
85,),O
86,.,O
87,В,O
88,обзоре,O
89,также,O
90,упомянут,O
91,ряд,O
92,существенных,O
93,результатов,O
94,последних,O
95,лет,O
96,",",O
97,относящихся,O
98,к,O
99,относительно,O
100,новому,O
101,разделу,B-TERM
102,теории,I-TERM
103,",",O
104,а,O
105,именно,O
106,к,O
107,проектированию,O
108,рынков,O
109,",",O
110,разделу,O
111,",",O
112,где,O
113,впервые,O
114,были,O
115,получены,O
116,результаты,O
117,решения,O
118,важных,O
119,практических,O
120,задач,B-TERM
121,экономики,I-TERM
122,.,O
