id,token,tag
0,В,O
1,статье,O
2,рассматриваются,O
3,вопросы,O
4,построения,B-TERM
5,моделей,I-TERM
6,документального,I-TERM
7,и,I-TERM
8,фактографического,O
9,поиска,O
10,для,O
11,интеллектуальных,B-TERM
12,информационных,I-TERM
13,систем,I-TERM
14,",",O
15,работающих,O
16,с,O
17,документами,O
18,достаточно,O
19,произвольной,B-TERM
20,структуры,I-TERM
21,",",O
22,а,O
23,также,O
24,разработки,O
25,технологии,O
26,извлечения,O
27,фактографической,B-TERM
28,системы,I-TERM
29,из,O
30,научных,B-TERM
31,документов,I-TERM
32,интеллектуальной,I-TERM
33,информационной,I-TERM
34,системы,I-TERM
35,.,O
36,Предложена,O
37,модель,B-TERM
38,классификации,I-TERM
39,документов,I-TERM
40,интеллектуальной,I-TERM
41,информационной,I-TERM
42,системы,I-TERM
43,",",O
44,основанная,O
45,на,O
46,использовании,O
47,отношения,O
48,толерантности,O
49,",",O
50,учитывающая,O
51,возможное,O
52,отсутствие,O
53,априорно,O
54,заданных,O
55,классификаторов,O
56,.,O
57,Показано,O
58,",",O
59,что,O
60,при,O
61,создании,B-TERM
62,фактографических,I-TERM
63,систем,I-TERM
64,целесообразно,O
65,следующее,O
66,понимание,B-TERM
67,факта,I-TERM
68,:,O
69,содержащаяся,O
70,в,O
71,тексте,B-TERM
72,и,O
73,метаданных,B-TERM
74,документа,I-TERM
75,совокупность,O
76,связей,O
77,между,O
78,сущностями,O
79,",",O
80,описываемыми,O
81,в,O
82,онтологии,B-TERM
83,информационной,I-TERM
84,системы,I-TERM
85,.,O
86,Предложена,O
87,простейшая,O
88,модель,B-TERM
89,онтологии,I-TERM
90,фактографической,O
91,системы,B-TERM
92,.,O
