id,token,tag
0,В,O
1,статье,O
2,рассматривается,O
3,задача,B-TERM
4,выявления,I-TERM
5,структурных,I-TERM
6,трансформаций,I-TERM
7,в,O
8,группах,B-TERM
9,временных,I-TERM
10,рядов,I-TERM
11,и,O
12,предлагаются,O
13,алгоритмы,O
14,выявления,O
15,больших,O
16,",",O
17,средних,O
18,и,O
19,малых,B-TERM
20,структурных,I-TERM
21,трансформаций,I-TERM
22,в,O
23,группах,B-TERM
24,временных,I-TERM
25,рядов,I-TERM
26,",",O
27,основанные,O
28,на,O
29,результатах,O
30,работы,O
31,алгоритмов,B-TERM
32,выявления,I-TERM
33,кластеризации,I-TERM
34,.,O
35,Приведены,O
36,примеры,O
37,применения,O
38,алгоритмов,O
39,выявления,B-TERM
40,структурных,I-TERM
41,трансформаций,I-TERM
42,в,O
43,задаче,B-TERM
44,анализа,I-TERM
45,временных,I-TERM
46,рядов,I-TERM
47,социально,O
48,-,O
49,экономической,O
50,сферы,O
51,",",O
52,подтверждающие,O
53,эффективность,O
54,предлагаемых,O
55,алгоритмов,O
56,.,O
