id,token,tag
0,Рассмотрены,O
1,некоторые,O
2,аспекты,B-TERM
3,анализа,I-TERM
4,и,O
5,прогнозирования,O
6,«,O
7,алфавитных,O
8,»,O
9,социально,O
10,-,O
11,экономических,B-TERM
12,временных,I-TERM
13,рядов,I-TERM
14,",",O
15,предложена,O
16,и,O
17,апробирована,O
18,методика,B-TERM
19,определения,I-TERM
20,периода,I-TERM
21,циклической,I-TERM
22,компоненты,I-TERM
23,эконометрической,I-TERM
24,модели,I-TERM
25,средствами,O
26,MS,B-TERM
27,Excel,I-TERM
28,и,O
29,представлен,O
30,пример,O
31,",",O
32,позволяющий,O
33,в,O
34,некоторой,O
35,степени,O
36,оценить,O
37,трудности,O
38,прогнозирования,O
39,реальных,O
40,социально,O
41,-,O
42,экономических,B-TERM
43,временных,I-TERM
44,рядов,I-TERM
45,",",O
46,степень,O
47,удобства,O
48,предложенного,O
49,алгоритма,O
50,обработки,B-TERM
51,данных,I-TERM
52,и,I-TERM
53,степень,O
54,достоверности,O
55,полученных,O
56,результатов,O
57,.,O
