id,token,tag
0,Сформулированы,O
1,требования,O
2,и,O
3,критерии,O
4,для,O
5,выбора,B-TERM
6,облачной,B-TERM
7,платформы,I-TERM
8,G,I-TERM
9,платформы,B-TERM
10,виртуализации,I-TERM
11,",",O
12,на,O
13,примере,O
14,разработки,O
15,облачной,B-TERM
16,платформы,I-TERM
17,G,O
18,-,O
19,Cloud,O
20,электронного,B-TERM
21,правительства,I-TERM
22,Республики,I-TERM
23,Казахстан,O
24,",",O
25,а,O
26,также,O
27,заложен,O
28,фреймворк,B-TERM
29,архитектуры,I-TERM
30,информационно,O
31,-,O
32,коммуникационной,O
33,инфраструктуры,O
34,.,O
