id,token,tag
0,Широкое,O
1,распространение,B-TERM
2,микропроцессорных,I-TERM
3,устройств,I-TERM
4,сделало,O
5,актуальным,O
6,разработку,O
7,новых,O
8,подходов,O
9,к,O
10,программированию,B-TERM
11,.,O
12,В,O
13,отличие,O
14,от,O
15,существующих,O
16,новый,O
17,подход,O
18,должен,O
19,быть,O
20,простым,O
21,в,O
22,освоении,O
23,для,O
24,любого,O
25,пользователя,O
26,-,O
27,непрограммиста,O
28,и,O
29,проблемно,O
30,-,O
31,ориентированным,O
32,.,O
33,Авторами,O
34,статьи,O
35,предлагается,O
36,концепция,O
37,проблемно,O
38,-,O
39,ориентированного,O
40,объектного,B-TERM
41,программирования,I-TERM
42,(,O
43,ПООП,O
44,),O
45,.,O
46,Согласно,O
47,этой,O
48,концепции,O
49,",",O
50,программа,O
51,представляет,O
52,собой,O
53,последовательность,O
54,объектов,O
55,",",O
56,передающих,O
57,друг,O
58,другу,O
59,управление,B-TERM
60,.,O
61,Объекты,B-TERM
62,являются,O
63,действиями,B-TERM
64,в,O
65,решении,O
66,задачи,O
67,и,O
68,имеют,O
69,одинаковую,O
70,структуру,B-TERM
71,.,O
72,Написание,O
73,программы,O
74,заключается,O
75,в,O
76,выборе,B-TERM
77,типов,I-TERM
78,объектов,I-TERM
79,",",O
80,задании,O
81,их,O
82,параметров,B-TERM
83,и,O
84,последовательности,O
85,их,O
86,выполнения,O
87,.,O
88,ПООП,O
89,также,O
90,представляет,O
91,собой,O
92,язык,B-TERM
93,представления,I-TERM
94,с,O
95,графическим,O
96,представлением,B-TERM
97,.,O
