id,token,tag
0,В,O
1,процессе,B-TERM
2,добычи,I-TERM
3,урана,I-TERM
4,методом,B-TERM
5,подземного,I-TERM
6,скважинного,I-TERM
7,выщелачивания,I-TERM
8,важное,O
9,значение,O
10,имеет,O
11,правильная,O
12,классификация,B-TERM
13,литологических,I-TERM
14,слоев,I-TERM
15,на,O
16,базе,B-TERM
17,данных,I-TERM
18,показатель,I-TERM
19,каротажа,I-TERM
20,.,O
21,Для,O
22,решения,O
23,этой,O
24,задачи,O
25,в,O
26,настоящее,B-TERM
27,время,I-TERM
28,часто,O
29,применяется,O
30,ручной,O
31,труд,B-TERM
32,.,O
33,Сопутствующие,O
34,ошибки,O
35,",",O
36,ведущие,O
37,к,O
38,экономическим,B-TERM
39,потерям,I-TERM
40,",",O
41,делают,O
42,актуальной,O
43,автоматизацию,O
44,данного,B-TERM
45,процесса,I-TERM
46,интерпретации,I-TERM
47,Для,O
48,автоматизации,B-TERM
49,процесса,I-TERM
50,интерпретации,B-TERM
51,данных,I-TERM
52,каротажа,I-TERM
53,используются,O
54,методы,B-TERM
55,машинного,I-TERM
56,обучения,I-TERM
57,с,O
58,учителем,O
59,.,O
60,Рассматривается,O
61,проблема,O
62,противоречивости,O
63,экспертной,O
64,интерпретации,B-TERM
65,данных,I-TERM
66,связанные,O
67,с,O
68,этим,O
69,ограничения,O
70,в,O
71,качестве,B-TERM
72,работы,I-TERM
73,нейронных,I-TERM
74,сетей,I-TERM
75,.,O
76,Для,O
77,оценки,B-TERM
78,методов,I-TERM
79,машинного,I-TERM
80,обучения,I-TERM
81,",",O
82,в,O
83,«,O
84,идеальном,O
85,случае,B-TERM
86,»,O
87,",",O
88,введено,O
89,понятие,O
90,«,O
91,синтезированной,O
92,»,O
93,скважины,O
94,",",O
95,—,O
96,набора,O
97,специально,O
98,сгенерированных,O
99,данных,B-TERM
100,",",O
101,имитирующих,O
102,показатели,O
103,электрического,O
104,каротажа,B-TERM
105,и,O
106,экспертное,B-TERM
107,оценивание,B-TERM
108,.,O
109,На,O
110,основе,O
111,этих,B-TERM
112,данных,I-TERM
113,нейронные,B-TERM
114,сети,I-TERM
115,с,O
116,прямым,O
117,распространением,O
118,сигнала,O
119,показывают,O
120,высокое,O
121,качество,B-TERM
122,классификации,I-TERM
123,(,O
124,около,O
125,96,O
126,%,O
127,точности,B-TERM
128,),O
129,.,O
130,При,O
131,использовании,O
132,реальных,B-TERM
133,данных,I-TERM
134,показатель,B-TERM
135,точности,I-TERM
136,существенно,O
137,ниже,O
138,—,O
139,около,O
140,55,O
141,%,O
142,.,O
143,Приведены,O
144,результаты,O
145,оценки,O
146,трех,O
147,скважин,O
148,тремя,O
149,различными,O
150,экспертами,B-TERM
151,и,O
152,оценено,O
153,их,O
154,согласие,O
155,между,O
156,собой,O
157,и,O
158,с,O
159,данными,B-TERM
160,кернового,O
161,апробирования,O
162,.,O
163,Приведены,O
164,качественные,O
165,показатели,O
166,интерпретации,O
167,данных,B-TERM
168,указанных,O
169,скважин,O
170,с,O
171,помощью,B-TERM
172,искусственной,I-TERM
173,нейронной,I-TERM
174,сети,I-TERM
175,.,O
176,Предложено,O
177,использовать,O
178,идентификатор,B-TERM
179,эксперта,I-TERM
180,в,O
181,качестве,O
182,дополнительного,B-TERM
183,параметра,I-TERM
184,при,O
185,обучении,B-TERM
186,нейронной,I-TERM
187,сети,I-TERM
188,.,O
