id,token,tag
0,В,O
1,статье,O
2,рассматриваются,O
3,методы,B-TERM
4,оценки,I-TERM
5,венчурных,I-TERM
6,проектов,I-TERM
7,",",O
8,используемые,O
9,в,O
10,современной,O
11,рыночной,O
12,практике,B-TERM
13,.,O
14,Рассмотрены,O
15,метод,B-TERM
16,сопоставимых,I-TERM
17,оценок,I-TERM
18,",",O
19,доходный,B-TERM
20,метод,I-TERM
21,",",O
22,венчурный,B-TERM
23,метод,I-TERM
24,.,O
25,Их,O
26,комбинация,O
27,может,O
28,использоваться,O
29,для,O
30,принятия,B-TERM
31,решения,I-TERM
32,об,O
33,инвестировании,O
34,в,O
35,проект,O
36,.,O
