id,token,tag
0,В,O
1,статье,O
2,приведен,O
3,сравнительный,B-TERM
4,анализ,I-TERM
5,основных,I-TERM
6,нейроэволюционных,I-TERM
7,методов,I-TERM
8,",",O
9,активно,O
10,применяющихся,O
11,для,O
12,интеллектуализации,B-TERM
13,систем,I-TERM
14,поддержки,I-TERM
15,принятия,I-TERM
16,решений,I-TERM
17,в,O
18,условиях,O
19,неопределенности,O
20,.,O
21,На,O
22,основании,B-TERM
23,анализа,I-TERM
24,предложен,O
25,новый,O
26,нейроэволюционный,O
27,метод,B-TERM
28,",",O
29,предназначенный,O
30,для,O
31,модификации,O
32,как,O
33,топологии,B-TERM
34,",",O
35,так,O
36,и,O
37,параметров,B-TERM
38,нейросети,I-TERM
39,",",O
40,и,O
41,не,O
42,накладывающий,O
43,дополнительных,O
44,ограничений,O
45,на,O
46,особь,O
47,.,O
48,Представлены,O
49,результаты,O
50,экспериментальной,O
51,оценки,B-TERM
52,методов,I-TERM
53,методов,I-TERM
54,",",O
55,проводившейся,O
56,на,O
57,серии,O
58,эталонных,O
59,нейроэволюционных,O
60,задач,B-TERM
61,адаптивного,I-TERM
62,управления,I-TERM
63,",",O
64,классификации,B-TERM
65,и,O
66,восстановления,O
67,поврежденных,O
68,данных,B-TERM
69,.,O
70,В,O
71,качестве,O
72,критериев,O
73,оценки,O
74,методов,B-TERM
75,были,O
76,использованы,O
77,количество,B-TERM
78,эпох,I-TERM
79,эволюции,I-TERM
80,и,O
81,общее,B-TERM
82,количество,I-TERM
83,эпох,I-TERM
84,эволюции,O
85,.,O
