id,token,tag
0,В,O
1,работе,O
2,рассматриваются,O
3,актуальные,O
4,вопросы,B-TERM
5,моделирования,I-TERM
6,динамики,I-TERM
7,некоторых,I-TERM
8,продукта,I-TERM
9,социально,O
10,-,O
11,экономических,B-TERM
12,систем,I-TERM
13,",",O
14,не,O
15,в,O
16,полной,O
17,мере,O
18,поддающихся,O
19,типовым,O
20,эконометрическим,O
21,методам,B-TERM
22,статистического,I-TERM
23,анализа,I-TERM
24,.,O
25,Приводится,O
26,пример,O
27,соответствующего,B-TERM
28,временного,I-TERM
29,ряда,I-TERM
30,и,O
31,схема,O
32,его,O
33,анализа,B-TERM
34,",",O
35,излагается,O
36,концепция,B-TERM
37,метода,I-TERM
38,двойного,I-TERM
39,сглаживания,I-TERM
40,",",O
41,описывается,O
42,его,O
43,применение,O
44,к,O
45,рассматриваемому,O
46,примеру,O
47,и,O
48,обсуждается,O
49,возможность,B-TERM
50,его,O
51,применения,O
52,к,O
53,моделированию,B-TERM
54,динамики,I-TERM
55,некоторых,B-TERM
56,процессов,I-TERM
57,в,O
58,организационных,B-TERM
59,системах,I-TERM
60,.,O
