id,token,tag
0,Рассматриваются,O
1,особенности,B-TERM
2,описания,I-TERM
3,семантики,I-TERM
4,и,O
5,разработки,B-TERM
6,программной,I-TERM
7,реализации,I-TERM
8,компонента,I-TERM
9,для,O
10,представления,B-TERM
11,элементов,I-TERM
12,многоуровневых,I-TERM
13,семантических,I-TERM
14,моделей,I-TERM
15,при,O
16,использовании,O
17,объектно,O
18,-,O
19,ориентированного,O
20,подхода,O
21,.,O
22,Обсуждается,O
23,применение,O
24,понятий,O
25,power,O
26,type,O
27,",",O
28,clabject,O
29,и,O
30,метода,B-TERM
31,многоуровневого,I-TERM
32,объектно,O
33,-,O
34,ориентированного,O
35,отображения,O
36,при,O
37,многоуровневом,B-TERM
38,семантическом,B-TERM
39,моделировании,I-TERM
40,.,O
