id,token,tag
0,Рассказано,O
1,",",O
2,как,O
3,можно,O
4,привязать,O
5,цепь,O
6,к,O
7,географии,B-TERM
8,",",O
9,математике,B-TERM
10,",",O
11,физике,B-TERM
12,",",O
13,истории,B-TERM
14,",",O
15,статистике,B-TERM
16,и,O
17,даже,O
18,этике,B-TERM
19,.,O
20,Предложен,O
21,и,O
22,опробован,O
23,инструмент,B-TERM
24,наукометрии,I-TERM
25,(,O
26,конкретнее,O
27,«,O
28,матметрии,B-TERM
29,»,O
30,),O
31,на,O
32,основе,B-TERM
33,анализа,I-TERM
34,качественных,I-TERM
35,и,I-TERM
36,количественных,B-TERM
37,данных,I-TERM
38,о,I-TERM
39,математиках,B-TERM
40,",",O
41,опубликованных,O
42,в,O
43,Википедии,O
44,.,O
45,Описаны,O
46,три,O
47,художественных,O
48,объекта,O
49,(,O
50,памятник,O
51,цепной,O
52,линии,O
53,",",O
54,тарелка,B-TERM
55,Чирнхауса,I-TERM
56,и,O
57,часы,O
58,Кеплера,B-TERM
59,),O
60,с,O
61,математическим,O
62,содержанием,O
63,",",O
64,которые,O
65,можно,O
66,установить,O
67,в,O
68,городах,B-TERM
69,Европы,I-TERM
70,для,O
71,популяризации,B-TERM
72,математики,I-TERM
73,через,O
74,художественно,O
75,восприятие,B-TERM
76,исторических,I-TERM
77,событий,I-TERM
78,.,O
