id,token,tag
0,В,O
1,системе,B-TERM
2,электронного,I-TERM
3,курса,I-TERM
4,",",O
5,наряду,O
6,с,O
7,общими,B-TERM
8,подходами,I-TERM
9,к,O
10,оценке,O
11,качества,B-TERM
12,электронного,I-TERM
13,важное,O
14,значение,O
15,имеет,O
16,методология,B-TERM
17,проектирования,I-TERM
18,средств,I-TERM
19,информационных,I-TERM
20,технологий,I-TERM
21,обучения,I-TERM
22,.,O
23,В,O
24,статье,O
25,сформулированы,O
26,критерии,O
27,качества,O
28,электронного,B-TERM
29,обучения,I-TERM
30,и,O
31,учебного,B-TERM
32,электронного,I-TERM
33,курса,I-TERM
34,.,O
35,Проведен,O
36,анализ,B-TERM
37,международного,I-TERM
38,опыта,I-TERM
39,оценки,I-TERM
40,материалов,I-TERM
41,на,O
42,основе,O
43,анкетирования,O
44,студентов,O
45,по,O
46,окончании,O
47,изучения,O
48,курса,O
49,.,O
