id,token,tag
0,В,O
1,статье,O
2,изложено,O
3,описание,O
4,разработанных,O
5,моделей,O
6,поведения,O
7,объектов,O
8,в,O
9,задаче,O
10,преследования,O
11,",",O
12,как,O
13,и,O
14,преследующего,O
15,",",O
16,так,O
17,и,O
18,преследуемого,O
19,.,O
20,Целью,B-TERM
21,проведенных,I-TERM
22,исследований,I-TERM
23,является,O
24,разработка,B-TERM
25,алгоритмов,I-TERM
26,для,O
27,автономных,B-TERM
28,робототехнических,I-TERM
29,комплексов,I-TERM
30,.,O
31,В,O
32,предлагаемых,O
33,моделях,O
34,поведения,O
35,вводятся,O
36,локальные,O
37,динамические,B-TERM
38,системы,I-TERM
39,координат,I-TERM
40,второго,I-TERM
41,которые,O
42,формируются,O
43,направлением,O
44,движения,O
45,объектов,O
46,.,O
47,В,O
48,течение,O
49,определенного,B-TERM
50,промежутка,I-TERM
51,времени,I-TERM
52,объект,O
53,должен,O
54,принять,O
55,решение,O
56,",",O
57,в,O
58,каком,O
59,направлении,O
60,он,O
61,должен,O
62,двигаться,O
63,в,O
64,зависимости,O
65,от,O
66,результата,B-TERM
67,анализа,I-TERM
68,координат,I-TERM
69,второго,O
70,объекта,O
71,.,O
72,В,O
73,силу,O
74,того,O
75,",",O
76,что,O
77,объект,O
78,при,O
79,перемещении,O
80,в,O
81,пространстве,O
82,не,O
83,может,O
84,мгновенно,O
85,производить,O
86,смену,O
87,направления,O
88,движения,O
89,",",O
90,в,O
91,наших,O
92,задачах,O
93,«,O
94,инертность,O
95,»,O
96,моделируется,O
97,при,O
98,помощи,O
99,угловой,O
100,скорости,O
101,вращения,O
102,.,O
103,По,O
104,предлагаемым,O
105,моделям,O
106,поведения,O
107,объектов,O
108,в,O
109,задаче,O
110,преследования,O
111,написаны,O
112,программы,O
113,в,O
114,системе,B-TERM
115,компьютерной,I-TERM
116,математики,I-TERM
117,Mathcad,I-TERM
118,",",O
119,с,O
120,которыми,O
121,можно,O
122,ознакомиться,O
123,на,O
124,сайте,O
125,автора,O
126,.,O
127,В,O
128,результатах,O
129,работы,O
130,программ,O
131,получены,O
132,анимированные,O
133,изображения,O
134,движения,O
135,объектов,O
136,",",O
137,ссылки,O
138,на,O
139,которые,O
140,приводятся,O
141,в,O
142,тексте,B-TERM
143,статьи,I-TERM
144,.,O
