id,token,tag
0,В,O
1,статье,O
2,показано,O
3,",",O
4,как,O
5,можно,O
6,использовать,O
7,математический,B-TERM
8,пакет,I-TERM
9,Mathcad,I-TERM
10,для,O
11,решения,O
12,задачи,O
13,о,O
14,движении,B-TERM
15,планет,I-TERM
16,(,O
17,материальных,O
18,точек,O
19,),O
20,под,O
21,действием,B-TERM
22,гравитационных,I-TERM
23,сил,I-TERM
24,на,O
25,плоскости,B-TERM
26,и,O
27,в,O
28,трехмерном,B-TERM
29,пространстве,I-TERM
30,.,O
31,Задача,O
32,проецируется,O
33,на,O
34,небесную,O
35,механику,O
36,.,O
37,Обсуждаются,O
38,вопросы,B-TERM
39,пределов,I-TERM
40,точности,I-TERM
41,численных,I-TERM
42,методов,I-TERM
43,решения,I-TERM
44,обыкновенных,I-TERM
45,дифференциальных,I-TERM
46,уравнений,I-TERM
47,.,O
48,Водится,O
49,понятие,O
50,«,O
51,Часов,B-TERM
52,Кеплера,I-TERM
53,»,O
54,с,O
55,неравномерным,O
56,движением,O
57,стрелок,B-TERM
58,",",O
59,иллюстрирующих,O
60,второй,O
61,закон,B-TERM
62,Кеплера,I-TERM
63,.,O
