id,token,tag
0,В,O
1,работе,O
2,рассматриваются,O
3,так,O
4,называемые,O
5,интеллектуальные,B-TERM
6,методы,I-TERM
7,и,O
8,как,O
9,их,O
10,важная,O
11,составляющая,O
12,—,O
13,сфера,B-TERM
14,машинного,I-TERM
15,обучения,I-TERM
16,(,O
17,machine,O
18,learning,B-TERM
19,—,O
20,ML,O
21,),O
22,",",O
23,относящаяся,O
24,к,O
25,части,O
26,слабого,B-TERM
27,искусственного,I-TERM
28,интеллекта,I-TERM
29,.,O
30,Приведена,O
31,таксономия,B-TERM
32,методов,I-TERM
33,ML,I-TERM
34,и,O
35,описаны,O
36,показатели,O
37,оценки,B-TERM
38,точности,I-TERM
39,классификации,I-TERM
40,.,O
41,Рассмотрены,O
42,способы,O
43,использования,O
44,«,O
45,кривых,B-TERM
46,обучения,I-TERM
47,»,O
48,для,O
49,оценки,O
50,методов,B-TERM
51,ML,O
52,в,O
53,динамике,O
54,роста,O
55,числа,O
56,обучающих,O
57,примеров,O
58,.,O
